period,cost,model,days,cycles,net_sharpe,same_filled_path_price_and_dividend_profit_before_fees,commission_and_slippage,net_profit
evaluation,BASE,JOINT_STATE_POLICY,1604,35,0.0901849240627947,13476.199999999975,10672.299720000086,2803.900279999827
evaluation,BASE,JOINT_STATE_MYOPIC,1604,6,0.4603661013446263,111199.49999999996,2211.1256599999338,108988.37433999998
evaluation,STRESS,JOINT_STATE_POLICY,1604,35,0.04186340428736339,12464.599999999988,19329.303759999893,-6864.703759999888
evaluation,STRESS,JOINT_STATE_MYOPIC,1604,6,0.4533835688421199,110400.19999999998,3991.0687600000056,106409.13124000002
earlier_diagnostic,BASE,JOINT_STATE_POLICY,1219,32,0.00039615092528224005,-12444.399999999947,8421.841220000091,-20866.241220000025
earlier_diagnostic,BASE,JOINT_STATE_MYOPIC,1219,13,0.13089205348569982,6661.799999999954,4001.2973600000387,2660.5026399999915
earlier_diagnostic,STRESS,JOINT_STATE_POLICY,1219,32,-0.04446521163731055,-13153.899999999978,15997.371920000016,-29151.271919999796
earlier_diagnostic,STRESS,JOINT_STATE_MYOPIC,1219,13,0.1149962387981408,6649.099999999946,7822.942399999918,-1173.8423999999359
