fit_origin,state,market_state,account_mode,joint_action,myopic_action,different
2014-12-31,0,0,0,1,1,False
2014-12-31,1,0,1,1,1,False
2014-12-31,2,0,2,0,0,False
2014-12-31,3,1,0,1,0,True
2014-12-31,4,1,1,1,1,False
2014-12-31,5,1,2,0,0,False
2014-12-31,6,2,0,1,1,False
2014-12-31,7,2,1,1,1,False
2014-12-31,8,2,2,0,0,False
2014-12-31,9,3,0,1,0,True
2014-12-31,10,3,1,1,1,False
2014-12-31,11,3,2,0,0,False
2015-01-05,0,0,0,1,1,False
2015-01-05,1,0,1,1,1,False
2015-01-05,2,0,2,0,0,False
2015-01-05,3,1,0,1,0,True
2015-01-05,4,1,1,1,1,False
2015-01-05,5,1,2,0,0,False
2015-01-05,6,2,0,1,1,False
2015-01-05,7,2,1,1,1,False
2015-01-05,8,2,2,0,0,False
2015-01-05,9,3,0,1,0,True
2015-01-05,10,3,1,1,1,False
2015-01-05,11,3,2,0,0,False
2015-02-02,0,0,0,1,0,True
2015-02-02,1,0,1,1,1,False
2015-02-02,2,0,2,0,0,False
2015-02-02,3,1,0,0,0,False
2015-02-02,4,1,1,1,1,False
2015-02-02,5,1,2,0,0,False
2015-02-02,6,2,0,1,1,False
2015-02-02,7,2,1,1,1,False
2015-02-02,8,2,2,0,0,False
2015-02-02,9,3,0,1,0,True
2015-02-02,10,3,1,1,1,False
2015-02-02,11,3,2,0,0,False
2015-03-02,0,0,0,1,0,True
2015-03-02,1,0,1,1,1,False
2015-03-02,2,0,2,0,0,False
2015-03-02,3,1,0,0,0,False
2015-03-02,4,1,1,1,1,False
2015-03-02,5,1,2,0,0,False
2015-03-02,6,2,0,1,1,False
2015-03-02,7,2,1,1,1,False
2015-03-02,8,2,2,0,0,False
2015-03-02,9,3,0,1,0,True
2015-03-02,10,3,1,1,1,False
2015-03-02,11,3,2,0,0,False
2015-04-01,0,0,0,1,0,True
2015-04-01,1,0,1,1,1,False
2015-04-01,2,0,2,0,0,False
2015-04-01,3,1,0,0,0,False
2015-04-01,4,1,1,1,1,False
2015-04-01,5,1,2,0,0,False
2015-04-01,6,2,0,1,1,False
2015-04-01,7,2,1,1,1,False
2015-04-01,8,2,2,0,0,False
2015-04-01,9,3,0,1,0,True
2015-04-01,10,3,1,1,1,False
2015-04-01,11,3,2,0,0,False
2015-05-04,0,0,0,1,0,True
2015-05-04,1,0,1,1,1,False
2015-05-04,2,0,2,0,0,False
2015-05-04,3,1,0,0,0,False
2015-05-04,4,1,1,1,1,False
2015-05-04,5,1,2,0,0,False
2015-05-04,6,2,0,1,1,False
2015-05-04,7,2,1,1,1,False
2015-05-04,8,2,2,0,0,False
2015-05-04,9,3,0,1,1,False
2015-05-04,10,3,1,1,1,False
2015-05-04,11,3,2,0,0,False
2015-06-01,0,0,0,0,0,False
2015-06-01,1,0,1,1,1,False
2015-06-01,2,0,2,0,0,False
2015-06-01,3,1,0,0,0,False
2015-06-01,4,1,1,0,1,True
2015-06-01,5,1,2,0,0,False
2015-06-01,6,2,0,1,1,False
2015-06-01,7,2,1,1,1,False
2015-06-01,8,2,2,0,0,False
2015-06-01,9,3,0,1,1,False
2015-06-01,10,3,1,1,1,False
2015-06-01,11,3,2,0,0,False
2015-07-01,0,0,0,0,0,False
2015-07-01,1,0,1,1,1,False
2015-07-01,2,0,2,0,0,False
2015-07-01,3,1,0,0,0,False
2015-07-01,4,1,1,0,1,True
2015-07-01,5,1,2,0,0,False
2015-07-01,6,2,0,1,1,False
2015-07-01,7,2,1,1,1,False
2015-07-01,8,2,2,0,0,False
2015-07-01,9,3,0,1,1,False
2015-07-01,10,3,1,1,1,False
2015-07-01,11,3,2,0,0,False
2015-08-03,0,0,0,1,1,False
2015-08-03,1,0,1,1,1,False
2015-08-03,2,0,2,0,0,False
2015-08-03,3,1,0,0,0,False
2015-08-03,4,1,1,0,1,True
2015-08-03,5,1,2,0,0,False
2015-08-03,6,2,0,1,1,False
2015-08-03,7,2,1,1,1,False
2015-08-03,8,2,2,0,0,False
2015-08-03,9,3,0,1,1,False
2015-08-03,10,3,1,1,1,False
2015-08-03,11,3,2,0,0,False
2015-09-01,0,0,0,0,0,False
2015-09-01,1,0,1,0,1,True
2015-09-01,2,0,2,0,0,False
2015-09-01,3,1,0,0,0,False
2015-09-01,4,1,1,1,1,False
2015-09-01,5,1,2,0,0,False
2015-09-01,6,2,0,1,1,False
2015-09-01,7,2,1,1,1,False
2015-09-01,8,2,2,0,0,False
2015-09-01,9,3,0,1,1,False
2015-09-01,10,3,1,1,1,False
2015-09-01,11,3,2,0,0,False
2015-10-08,0,0,0,0,0,False
2015-10-08,1,0,1,0,1,True
2015-10-08,2,0,2,0,0,False
2015-10-08,3,1,0,0,0,False
2015-10-08,4,1,1,0,1,True
