fit_index,fit_origin,status,linear_solves
632,2014-12-31,FIT_COMPLETE,2
633,2015-01-05,FIT_COMPLETE,2
653,2015-02-02,FIT_COMPLETE,3
668,2015-03-02,FIT_COMPLETE,3
690,2015-04-01,FIT_COMPLETE,3
711,2015-05-04,FIT_COMPLETE,3
731,2015-06-01,FIT_COMPLETE,5
752,2015-07-01,FIT_COMPLETE,5
775,2015-08-03,FIT_COMPLETE,4
796,2015-09-01,FIT_COMPLETE,5
816,2015-10-08,FIT_COMPLETE,4
833,2015-11-02,FIT_COMPLETE,4
854,2015-12-01,FIT_COMPLETE,4
877,2016-01-04,FIT_COMPLETE,4
897,2016-02-01,FIT_COMPLETE,4
913,2016-03-01,FIT_COMPLETE,4
936,2016-04-01,FIT_COMPLETE,6
956,2016-05-03,FIT_COMPLETE,4
977,2016-06-01,FIT_COMPLETE,4
997,2016-07-01,FIT_COMPLETE,4
1018,2016-08-01,FIT_COMPLETE,4
1041,2016-09-01,FIT_COMPLETE,4
1061,2016-10-10,FIT_COMPLETE,4
1077,2016-11-01,FIT_COMPLETE,4
1099,2016-12-01,FIT_COMPLETE,4
1121,2017-01-03,FIT_COMPLETE,4
1139,2017-02-03,FIT_COMPLETE,5
1157,2017-03-01,FIT_COMPLETE,4
1180,2017-04-05,FIT_COMPLETE,4
1198,2017-05-02,FIT_COMPLETE,3
1218,2017-06-01,FIT_COMPLETE,3
1240,2017-07-03,FIT_COMPLETE,3
1261,2017-08-01,FIT_COMPLETE,4
1284,2017-09-01,FIT_COMPLETE,2
1305,2017-10-09,FIT_COMPLETE,4
1322,2017-11-01,FIT_COMPLETE,4
1344,2017-12-01,FIT_COMPLETE,3
1365,2018-01-02,FIT_COMPLETE,4
1387,2018-02-01,FIT_COMPLETE,3
1402,2018-03-01,FIT_COMPLETE,4
1424,2018-04-02,FIT_COMPLETE,4
1442,2018-05-02,FIT_COMPLETE,3
1464,2018-06-01,FIT_COMPLETE,4
1484,2018-07-02,FIT_COMPLETE,3
1506,2018-08-01,FIT_COMPLETE,5
1529,2018-09-03,FIT_COMPLETE,5
1548,2018-10-08,FIT_COMPLETE,3
1566,2018-11-01,FIT_COMPLETE,4
1588,2018-12-03,FIT_COMPLETE,4
1608,2019-01-02,FIT_COMPLETE,6
1630,2019-02-01,FIT_COMPLETE,2
1645,2019-03-01,FIT_COMPLETE,4
1666,2019-04-01,FIT_COMPLETE,4
1687,2019-05-06,FIT_COMPLETE,4
1707,2019-06-03,FIT_COMPLETE,4
1726,2019-07-01,FIT_COMPLETE,4
1749,2019-08-01,FIT_COMPLETE,4
1771,2019-09-02,FIT_COMPLETE,5
1791,2019-10-08,FIT_COMPLETE,3
1809,2019-11-01,FIT_COMPLETE,3
1830,2019-12-02,FIT_COMPLETE,3
1852,2020-01-02,FIT_COMPLETE,5
1868,2020-02-03,FIT_COMPLETE,6
1888,2020-03-02,FIT_COMPLETE,4
1910,2020-04-01,FIT_COMPLETE,5
1931,2020-05-06,FIT_COMPLETE,5
1949,2020-06-01,FIT_COMPLETE,3
1969,2020-07-01,FIT_COMPLETE,3
1992,2020-08-03,FIT_COMPLETE,3
2013,2020-09-01,FIT_COMPLETE,3
2035,2020-10-09,FIT_COMPLETE,3
2051,2020-11-02,FIT_COMPLETE,4
2072,2020-12-01,FIT_COMPLETE,2
2095,2021-01-04,FIT_COMPLETE,2
2115,2021-02-01,FIT_COMPLETE,2
2130,2021-03-01,FIT_COMPLETE,2
2153,2021-04-01,FIT_COMPLETE,2
2174,2021-05-06,FIT_COMPLETE,3
2192,2021-06-01,FIT_COMPLETE,2
2213,2021-07-01,FIT_COMPLETE,3
2235,2021-08-02,FIT_COMPLETE,3
2257,2021-09-01,FIT_COMPLETE,3
2277,2021-10-08,FIT_COMPLETE,4
2293,2021-11-01,FIT_COMPLETE,4
2315,2021-12-01,FIT_COMPLETE,5
2338,2022-01-04,FIT_COMPLETE,6
2357,2022-02-07,FIT_COMPLETE,5
2373,2022-03-01,FIT_COMPLETE,4
2396,2022-04-01,FIT_COMPLETE,4
2415,2022-05-05,FIT_COMPLETE,4
2434,2022-06-01,FIT_COMPLETE,4
2455,2022-07-01,FIT_COMPLETE,4
2476,2022-08-01,FIT_COMPLETE,5
2499,2022-09-01,FIT_COMPLETE,5
2520,2022-10-10,FIT_COMPLETE,4
2536,2022-11-01,FIT_COMPLETE,4
2558,2022-12-01,FIT_COMPLETE,4
2580,2023-01-03,FIT_COMPLETE,4
2596,2023-02-01,FIT_COMPLETE,5
2616,2023-03-01,FIT_COMPLETE,5
2639,2023-04-03,FIT_COMPLETE,5
2658,2023-05-04,FIT_COMPLETE,3
2678,2023-06-01,FIT_COMPLETE,3
2698,2023-07-03,FIT_COMPLETE,3
2719,2023-08-01,FIT_COMPLETE,4
2742,2023-09-01,FIT_COMPLETE,2
2762,2023-10-09,FIT_COMPLETE,2
2779,2023-11-01,FIT_COMPLETE,2
2801,2023-12-01,FIT_COMPLETE,2
2822,2024-01-02,FIT_COMPLETE,2
2844,2024-02-01,FIT_COMPLETE,3
2859,2024-03-01,FIT_COMPLETE,3
2880,2024-04-01,FIT_COMPLETE,3
2900,2024-05-06,FIT_COMPLETE,3
2920,2024-06-03,FIT_COMPLETE,4
2939,2024-07-01,FIT_COMPLETE,5
2962,2024-08-01,FIT_COMPLETE,2
2984,2024-09-02,FIT_COMPLETE,2
3003,2024-10-08,FIT_COMPLETE,5
3021,2024-11-01,FIT_COMPLETE,3
3042,2024-12-02,FIT_COMPLETE,3
3064,2025-01-02,FIT_COMPLETE,4
