period,cost,model,parent,terminal_nav_difference
evaluation,BASE,JOINT_STATE_POLICY,WITHIN_CYCLE_EXIT,-109749.37678000034
evaluation,BASE,JOINT_STATE_POLICY,JOINT_STATE_MYOPIC,-106184.47406000015
evaluation,BASE,JOINT_STATE_MYOPIC,WITHIN_CYCLE_EXIT,-3564.9027200001874
evaluation,STRESS,JOINT_STATE_POLICY,WITHIN_CYCLE_EXIT,-110831.98807999998
evaluation,STRESS,JOINT_STATE_POLICY,JOINT_STATE_MYOPIC,-113273.8349999999
evaluation,STRESS,JOINT_STATE_MYOPIC,WITHIN_CYCLE_EXIT,2441.8469199999236
earlier_diagnostic,BASE,JOINT_STATE_POLICY,WITHIN_CYCLE_EXIT,-122796.89358000009
earlier_diagnostic,BASE,JOINT_STATE_POLICY,JOINT_STATE_MYOPIC,-23526.743860000017
earlier_diagnostic,BASE,JOINT_STATE_MYOPIC,WITHIN_CYCLE_EXIT,-99270.14972000007
earlier_diagnostic,STRESS,JOINT_STATE_POLICY,WITHIN_CYCLE_EXIT,-126837.45083999995
earlier_diagnostic,STRESS,JOINT_STATE_POLICY,JOINT_STATE_MYOPIC,-27977.42951999986
earlier_diagnostic,STRESS,JOINT_STATE_MYOPIC,WITHIN_CYCLE_EXIT,-98860.02132000009
