period,publication_date,title,url,relative_official_path,ts_code,unresolved_title_flags
2012Q4,2013-01-21,300ETF2012年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2013-01-20/510300_20130121_1.pdf,/disclosure/fund/announcement/c/2013-01-20/510300_20130121_1.pdf,510300.SH,
2013Q4,2014-01-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2013年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-01-19/510300_20140120_1.pdf,/disclosure/fund/announcement/c/2014-01-19/510300_20140120_1.pdf,510300.SH,
2014Q1,2014-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2014年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-04-22/510300_2014_1.pdf,/disclosure/fund/announcement/c/2014-04-22/510300_2014_1.pdf,510300.SH,
2014Q2,2014-07-19,华泰柏瑞沪深300交易型开放式指数证券投资基金2014年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-07-18/510300_20140719_1.pdf,/disclosure/fund/announcement/c/2014-07-18/510300_20140719_1.pdf,510300.SH,
2014Q3,2014-10-24,华泰柏瑞沪深300交易型开放式指数证券投资基金2014年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-10-23/510300_2014_3.pdf,/disclosure/fund/announcement/c/2014-10-23/510300_2014_3.pdf,510300.SH,
2014Q4,2015-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2014年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-01-21/510300_20150122_1.pdf,/disclosure/fund/announcement/c/2015-01-21/510300_20150122_1.pdf,510300.SH,
2015Q1,2015-04-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2015年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-04-21/510300_2015_1.pdf,/disclosure/fund/announcement/c/2015-04-21/510300_2015_1.pdf,510300.SH,
2015Q2,2015-07-18,华泰柏瑞沪深300交易型开放式指数证券投资基金2015年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-07-17/510300_20150718_1.pdf,/disclosure/fund/announcement/c/2015-07-17/510300_20150718_1.pdf,510300.SH,
2015Q3,2015-10-27,华泰柏瑞沪深300交易型开放式指数证券投资基金2015年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-10-27/510300_2015_3.pdf,/disclosure/fund/announcement/c/2015-10-27/510300_2015_3.pdf,510300.SH,
2015Q4,2016-01-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2015年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-01-21/510300_20160121_1.pdf,/disclosure/fund/announcement/c/2016-01-21/510300_20160121_1.pdf,510300.SH,
2016Q1,2016-04-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2016年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-04-20/510300_2016_1.pdf,/disclosure/fund/announcement/c/2016-04-20/510300_2016_1.pdf,510300.SH,
