period,publication_date,title,url,relative_official_path,ts_code,unresolved_title_flags
2016Q2,2016-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2016年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-07-21/510300_20160721_1.pdf,/disclosure/fund/announcement/c/2016-07-21/510300_20160721_1.pdf,510300.SH,
2016Q3,2016-10-25,华泰柏瑞沪深300交易型开放式指数证券投资基金2016年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-10-25/510300_2016_3.pdf,/disclosure/fund/announcement/c/2016-10-25/510300_2016_3.pdf,510300.SH,
2016Q4,2017-01-19,华泰柏瑞沪深300交易型开放式指数证券投资基金2016年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-01-19/510300_20170119_1.pdf,/disclosure/fund/announcement/c/2017-01-19/510300_20170119_1.pdf,510300.SH,
2017Q1,2017-04-24,华泰柏瑞沪深300交易型开放式指数证券投资基金2017年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-04-23/510300_2017_1.pdf,/disclosure/fund/announcement/c/2017-04-23/510300_2017_1.pdf,510300.SH,
2017Q2,2017-07-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2017年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-07-19/510300_20170720_1.pdf,/disclosure/fund/announcement/c/2017-07-19/510300_20170720_1.pdf,510300.SH,
2017Q3,2017-10-25,华泰柏瑞沪深300交易型开放式指数证券投资基金2017年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-10-24/510300_2017_3.pdf,/disclosure/fund/announcement/c/2017-10-24/510300_2017_3.pdf,510300.SH,
2017Q4,2018-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2017年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-01-21/510300_20180122_1.pdf,/disclosure/fund/announcement/c/2018-01-21/510300_20180122_1.pdf,510300.SH,
2018Q1,2018-04-23,华泰柏瑞沪深300交易型开放式指数证券投资基金2018年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-04-22/510300_2018_1.pdf,/disclosure/fund/announcement/c/2018-04-22/510300_2018_1.pdf,510300.SH,
2018Q2,2018-07-18,华泰柏瑞沪深300交易型开放式指数证券投资基金2018年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-07-18/510300_20180718_1.pdf,/disclosure/fund/announcement/c/2018-07-18/510300_20180718_1.pdf,510300.SH,
2018Q3,2018-10-26,华泰柏瑞沪深300交易型开放式指数证券投资基金2018年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-10-25/510300_2018_3.pdf,/disclosure/fund/announcement/c/2018-10-25/510300_2018_3.pdf,510300.SH,
2018Q4,2019-01-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2018年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-01-20/510300_20190121_1.pdf,/disclosure/fund/announcement/c/2019-01-20/510300_20190121_1.pdf,510300.SH,
2019Q1,2019-04-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2019年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-04-19/510300_2019_1.pdf,/disclosure/fund/announcement/c/2019-04-19/510300_2019_1.pdf,510300.SH,
2019Q2,2019-07-17,华泰柏瑞沪深300交易型开放式指数证券投资基金2019年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-07-16/510300_20190717_1.pdf,/disclosure/fund/announcement/c/2019-07-16/510300_20190717_1.pdf,510300.SH,
2019Q3,2019-10-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2019年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-10-21/510300_2019_3.pdf,/disclosure/fund/announcement/c/2019-10-21/510300_2019_3.pdf,510300.SH,
2019Q4,2020-01-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2019年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-01-20/510300_20200121_1.pdf,/disclosure/fund/announcement/c/2020-01-20/510300_20200121_1.pdf,510300.SH,
2020Q1,2020-04-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2020年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-04-19/510300_20200420_1.pdf,/disclosure/fund/announcement/c/2020-04-19/510300_20200420_1.pdf,510300.SH,
2020Q2,2020-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2020年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-07-20/510300_20200721_1.pdf,/disclosure/fund/announcement/c/2020-07-20/510300_20200721_1.pdf,510300.SH,
2020Q3,2020-10-28,华泰柏瑞沪深300交易型开放式指数证券投资基金2020年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-10-27/510300_20201028_1.pdf,/disclosure/fund/announcement/c/2020-10-27/510300_20201028_1.pdf,510300.SH,
2020Q4,2021-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2020年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/2021-01-21/510300_20210122_6.pdf,/disclosure/fund/announcement/c/2021-01-21/510300_20210122_6.pdf,510300.SH,
2021Q1,2021-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2021年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-04-22/510300_20210422_1.pdf,/disclosure/fund/announcement/c/new/2021-04-22/510300_20210422_1.pdf,510300.SH,
2021Q2,2021-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2021年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-07-21/510300_20210721_1_MPdPp6Yj.pdf,/disclosure/fund/announcement/c/new/2021-07-21/510300_20210721_1_MPdPp6Yj.pdf,510300.SH,
2021Q3,2021-10-27,华泰柏瑞沪深300交易型开放式指数证券投资基金2021年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-10-27/510300_20211027_1_INbeqLrb.pdf,/disclosure/fund/announcement/c/new/2021-10-27/510300_20211027_1_INbeqLrb.pdf,510300.SH,
2021Q4,2022-01-24,华泰柏瑞沪深300交易型开放式指数证券投资基金2021年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-01-24/510300_20220124_1_2C80qavO.pdf,/disclosure/fund/announcement/c/new/2022-01-24/510300_20220124_1_2C80qavO.pdf,510300.SH,
2022Q1,2022-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2022年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-04-22/510300_20220422_1_z8CaCpJp.pdf,/disclosure/fund/announcement/c/new/2022-04-22/510300_20220422_1_z8CaCpJp.pdf,510300.SH,
2022Q2,2022-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2022年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-07-21/510300_20220721_1_B0qLVLxy.pdf,/disclosure/fund/announcement/c/new/2022-07-21/510300_20220721_1_B0qLVLxy.pdf,510300.SH,
2022Q3,2022-10-26,华泰柏瑞沪深300交易型开放式指数证券投资基金2022年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2022-10-26/510300_20221026_1_IfSE0mrU.pdf,/disclosure/fund/announcement/c/new/2022-10-26/510300_20221026_1_IfSE0mrU.pdf,510300.SH,
2022Q4,2023-01-20,华泰柏瑞沪深300交易型开放式指数证券投资基金2022年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/510300_20230120_X7ZY.pdf,/disclosure/fund/announcement/c/new/2023-01-20/510300_20230120_X7ZY.pdf,510300.SH,
2023Q1,2023-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2023年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-04-22/510300_20230422_48W8.pdf,/disclosure/fund/announcement/c/new/2023-04-22/510300_20230422_48W8.pdf,510300.SH,
2023Q2,2023-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2023年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-07-21/510300_20230721_0R3C.pdf,/disclosure/fund/announcement/c/new/2023-07-21/510300_20230721_0R3C.pdf,510300.SH,
2023Q3,2023-10-25,华泰柏瑞沪深300交易型开放式指数证券投资基金2023年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-10-25/510300_20231025_C5N5.pdf,/disclosure/fund/announcement/c/new/2023-10-25/510300_20231025_C5N5.pdf,510300.SH,
2023Q4,2024-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2023年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-22/510300_20240122_7UTB.pdf,/disclosure/fund/announcement/c/new/2024-01-22/510300_20240122_7UTB.pdf,510300.SH,
2024Q1,2024-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2024年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-22/510300_20240422_FKAE.pdf,/disclosure/fund/announcement/c/new/2024-04-22/510300_20240422_FKAE.pdf,510300.SH,
2024Q2,2024-07-19,华泰柏瑞沪深300交易型开放式指数证券投资基金2024年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-19/510300_20240719_8IJ3.pdf,/disclosure/fund/announcement/c/new/2024-07-19/510300_20240719_8IJ3.pdf,510300.SH,
2024Q3,2024-10-25,华泰柏瑞沪深300交易型开放式指数证券投资基金2024年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/510300_20241025_VBWZ.pdf,/disclosure/fund/announcement/c/new/2024-10-25/510300_20241025_VBWZ.pdf,510300.SH,
2024Q4,2025-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2024年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/510300_20250122_TVL5.pdf,/disclosure/fund/announcement/c/new/2025-01-22/510300_20250122_TVL5.pdf,510300.SH,
2025Q1,2025-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2025年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/510300_20250422_Y2W8.pdf,/disclosure/fund/announcement/c/new/2025-04-22/510300_20250422_Y2W8.pdf,510300.SH,
2025Q2,2025-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2025年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/510300_20250721_P6RU.pdf,/disclosure/fund/announcement/c/new/2025-07-21/510300_20250721_P6RU.pdf,510300.SH,
2025Q3,2025-10-28,华泰柏瑞沪深300交易型开放式指数证券投资基金2025年第3季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/510300_20251028_LQSR.pdf,/disclosure/fund/announcement/c/new/2025-10-28/510300_20251028_LQSR.pdf,510300.SH,
2025Q4,2026-01-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2025年第4季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/510300_20260122_ZDUH.pdf,/disclosure/fund/announcement/c/new/2026-01-22/510300_20260122_ZDUH.pdf,510300.SH,
2026Q1,2026-04-22,华泰柏瑞沪深300交易型开放式指数证券投资基金2026年第1季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/510300_20260422_XODY.pdf,/disclosure/fund/announcement/c/new/2026-04-22/510300_20260422_XODY.pdf,510300.SH,
2026Q2,2026-07-21,华泰柏瑞沪深300交易型开放式指数证券投资基金2026年第2季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/510300_20260721_IQ8D.pdf,/disclosure/fund/announcement/c/new/2026-07-21/510300_20260721_IQ8D.pdf,510300.SH,
