period,ts_code,status,source_usable,publication_date,reported_send_date,feature_available_session,source_page,source_url,source_sha256,identity_residual,beginning_units,gross_subscription_units,gross_redemption_units,split_delta_units,ending_units,net_subscription_units,net_units_divided_by_beginning_units,quarter_transition_residual
2017Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2017-07-20,2017-07-20,2017-07-21,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-07-19/510300_20170720_1.pdf,2f98bc9c34d3ddfb4550db7540849a51ff6a21e5a8c896eb783972fa58c3b90c,0.00,5200687690.0,1320300000.0,1313100000.0,0.0,5207887690.0,7200000.0,0.0013844322961065942,0.0
2017Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2017-10-25,2017-10-25,2017-10-26,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-10-24/510300_2017_3.pdf,da25d337d82e35c6cb17138a80192fb534addb4d6a13ead91d2293b28487c9b9,0.00,5207887690.0,688500000.0,1342800000.0,0.0,4553587690.0,-654300000.0,-0.12563634988833638,0.0
2017Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2018-01-22,2018-01-22,2018-01-23,10.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-01-21/510300_20180122_1.pdf,7cb3d4a3a4b23ac604e6803171dc23fdf76d6229715fe40d70b0e15bda0136fc,0.00,4553587690.0,1546200000.0,1116000000.0,0.0,4983787690.0,430200000.0,0.09447495673460941,0.0
2018Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2018-04-23,2018-04-21,2018-04-24,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-04-22/510300_2018_1.pdf,579e8f7440993a28c1532144afdf437840080c57846083afb50bc4a92cb40080,0.00,4983787690.0,2029500000.0,1326600000.0,0.0,5686687690.0,702900000.0,0.14103730811213588,0.0
2018Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2018-07-18,2018-07-18,2018-07-19,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-07-18/510300_20180718_1.pdf,cfbd559d2f5d951adfd66553b60d6c622f36a1552fc626d20a7cd792a5049d72,0.00,5686687690.0,1345500000.0,707400000.0,0.0,6324787690.0,638100000.0,0.11220943276383796,0.0
2018Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2018-10-26,2018-10-26,2018-10-29,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-10-25/510300_2018_3.pdf,14ed2909d8b2886a1959b047f5775948285c3ae0706027cfd6b0ccb0666c6fc2,0.00,6324787690.0,2444400000.0,856800000.0,0.0,7912387690.0,1587600000.0,0.25101237825107137,0.0
2018Q4,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2019-01-21,2019-01-21,,,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-01-20/510300_20190121_1.pdf,8becc96bc7ac17f81f6ad4619f2cc739cd720a092a6b0685718363269974233f,,,,,,,,,
2019Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2019-04-20,2019-04-20,2019-04-22,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-04-19/510300_2019_1.pdf,dd387da1ae28c73314ff6d53af41a04f46b379adbb66f4d2f80a87a81a5c429b,0.00,10847287690.0,1773900000.0,4141800000.0,0.0,8479387690.0,-2367900000.0,-0.2182942010640081,
2019Q2,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2019-07-17,2019-07-17,,,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-07-16/510300_20190717_1.pdf,6897f9fdd256140b7131f17784ccc161e3c9b17cb9af14610b2f19831b271166,,,,,,,,,
2019Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2019-10-22,2019-10-22,2019-10-23,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2019-10-21/510300_2019_3.pdf,6d08e39c75865442d5b38741d3644d2aeab869e5f087c2b27d1fdf05929235b1,0.00,9462187690.0,2164500000.0,2731500000.0,0.0,8895187690.0,-567000000.0,-0.05992271751269816,
2019Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2020-01-21,2020-01-21,2020-01-22,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-01-20/510300_20200121_1.pdf,09703952a8f1ed52f41ed1e72ba6bad95465b4fa6329b1d6aa4340d0db17d327,0.00,8895187690.0,2168100000.0,1213200000.0,0.0,9850087690.0,954900000.0,0.10735018003875306,0.0
2020Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2020-04-20,2020-04-20,2020-04-21,11.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-04-19/510300_20200420_1.pdf,6f7b3574bd0954491575165a41ac824f56c38b357b5a4579476b53d88dfe7ce2,0.00,9850087690.0,6870600000.0,5611500000.0,0.0,11109187690.0,1259100000.0,0.12782627318924913,0.0
2020Q2,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2020-07-21,2020-07-21,,,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-07-20/510300_20200721_1.pdf,98f8ef434ea1ab837da2bdf35b81e91f38ad09ab60afb00cb960276277173aba,,,,,,,,,
2020Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2020-10-28,2020-10-28,2020-10-29,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2020-10-27/510300_20201028_1.pdf,e23c3ec5e316811fdb5bbd0b67c51c919db5d71269992b4b382191ae0424e895,0.00,8169787690.0,7108200000.0,7074900000.0,0.0,8203087690.0,33300000.0,0.0040759933138482815,
2020Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2021-01-22,2021-01-22,2021-01-25,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2021-01-21/510300_20210122_6.pdf,f7bc159b39570bd7a4bb51f32d5638f15a5f3589c2abbc8e6e37d42f5cb06cef,0.00,8203087690.0,4158900000.0,3704400000.0,0.0,8657587690.0,454500000.0,0.055405966286823885,0.0
2021Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2021-04-22,2021-04-22,2021-04-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-04-22/510300_20210422_1.pdf,5cf07a8310ab9003ce84ea494ed1c010c1912b38ebe707c6f4257027303410f7,0.00,8657587690.0,6606900000.0,7134300000.0,0.0,8130187690.0,-527400000.0,-0.06091766192667925,0.0
