period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,-17490.275180000055,-18417.79999999999,-1875.9999999999998,-688.2248200000001,-2115.299999999913
evaluation,STRESS,-14923.762519999931,-18189.19999999999,-1858.3999999999999,-1362.1374799999999,-3761.700000000011
earlier_diagnostic,BASE,-11447.102099999902,-11063.500000000015,0.0,92.20209999999997,291.39999999999463
earlier_diagnostic,STRESS,-11710.913599999883,-11024.10000000001,0.0,181.91359999999986,504.89999999999327
