period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,64,5,6,0,0,0.02875738072138706
evaluation,STRESS,64,5,6,0,0,0.028731129017889923
earlier_diagnostic,BASE,246,14,15,0,0,0.10722259379223796
earlier_diagnostic,STRESS,246,14,15,0,0,0.10726601097338687
