period,date,status,observations,panic_budget,learned_budget
evaluation,2025-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2025-02-05,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2025-03-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2025-04-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2025-05-06,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-06-03,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-07-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-08-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-09-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-10-09,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-11-03,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2025-12-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2026-01-05,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2026-02-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2026-03-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2026-04-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
evaluation,2026-05-06,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2026-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
evaluation,2026-07-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
