period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,5,1,42754.23711999996,39832.55589999999,0.931663352761983
evaluation,STRESS,5,1,41434.99163999998,38980.13151999995,0.9407539371232747
earlier_diagnostic,BASE,14,6,30543.767200000093,60034.68013999999,1.9655296528058859
earlier_diagnostic,STRESS,14,6,27337.45632,59256.94999999997,2.1676102306800127
