first_fit_index,first_fit_origin,feature,factor_chinese,knot_number,standardized_value,curve_prediction,weighted_contribution
1157,2017-03-01,log_holding_days,持仓时间对数,1,-1.7820337921817275,-0.012317647682900541,-0.0015397059603625676
1157,2017-03-01,log_holding_days,持仓时间对数,2,-1.4189205531027735,0.021248803493040334,0.002656100436630042
1157,2017-03-01,log_holding_days,持仓时间对数,3,-1.1612876099370555,0.02475954334254597,0.003094942917818246
1157,2017-03-01,log_holding_days,持仓时间对数,4,-0.961451974078425,0.026036918978186906,0.003254614872273363
1157,2017-03-01,log_holding_days,持仓时间对数,5,1.2638998117345448,0.026036918978186906,0.003254614872273363
1157,2017-03-01,cycle_return,含分红浮盈浮亏,1,-0.9895327402378146,0.03255273838116695,0.004069092297645869
1157,2017-03-01,cycle_return,含分红浮盈浮亏,2,-0.8846194268618857,0.03255273838116695,0.004069092297645869
1157,2017-03-01,cycle_return,含分红浮盈浮亏,3,-0.8811930609815677,0.02761634871139498,0.0034520435889243725
1157,2017-03-01,cycle_return,含分红浮盈浮亏,4,0.14426553490890218,0.02761634871139498,0.0034520435889243725
1157,2017-03-01,cycle_return,含分红浮盈浮亏,5,0.15421134599469125,0.010720058959662972,0.0013400073699578715
1157,2017-03-01,cycle_return,含分红浮盈浮亏,6,2.2353674856021684,0.010720058959662972,0.0013400073699578715
1157,2017-03-01,cycle_return,含分红浮盈浮亏,7,2.2875111468371117,0.009063836619484655,0.0011329795774355819
1157,2017-03-01,cycle_return,含分红浮盈浮亏,8,2.5848333187582004,0.009063836619484655,0.0011329795774355819
1157,2017-03-01,cycle_return,含分红浮盈浮亏,9,2.6904177367188407,-0.0073579365203265985,-0.0009197420650408248
1157,2017-03-01,cycle_return,含分红浮盈浮亏,10,2.729996049453786,-0.0073579365203265985,-0.0009197420650408248
1157,2017-03-01,cycle_return,含分红浮盈浮亏,11,2.7505002983678706,-0.03782522126422409,-0.004728152658028012
1157,2017-03-01,cycle_return,含分红浮盈浮亏,12,3.200430824856137,-0.03782522126422409,-0.004728152658028012
1157,2017-03-01,cycle_return,含分红浮盈浮亏,13,3.220557986563222,-0.05280011616232624,-0.00660001452029078
1157,2017-03-01,cycle_return,含分红浮盈浮亏,14,3.2541947991878346,-0.05280011616232624,-0.00660001452029078
1157,2017-03-01,cycle_return,含分红浮盈浮亏,15,3.333654573196689,-0.062384287709190134,-0.007798035963648767
1157,2017-03-01,cycle_return,含分红浮盈浮亏,16,3.337188841528984,-0.08228614540466392,-0.01028576817558299
1157,2017-03-01,cycle_return,含分红浮盈浮亏,17,3.425545549836384,-0.0872930422919509,-0.010911630286493862
1157,2017-03-01,cycle_drawdown,持仓回撤,1,-2.8872571105691764,-0.010876007614564987,-0.0013595009518206234
1157,2017-03-01,cycle_drawdown,持仓回撤,2,-2.79907025756269,-0.010876007614564987,-0.0013595009518206234
1157,2017-03-01,cycle_drawdown,持仓回撤,3,-2.7896606118245884,0.0031555213893944265,0.0003944401736743033
1157,2017-03-01,cycle_drawdown,持仓回撤,4,-0.1544621251198361,0.0031555213893944265,0.0003944401736743033
1157,2017-03-01,cycle_drawdown,持仓回撤,5,-0.14610603502270264,0.022389627171796368,0.002798703396474546
1157,2017-03-01,cycle_drawdown,持仓回撤,6,0.6509264057940816,0.022389627171796368,0.002798703396474546
1157,2017-03-01,cycle_drawdown,持仓回撤,7,0.6540093772907133,0.027778053644811035,0.0034722567056013794
1157,2017-03-01,cycle_drawdown,持仓回撤,8,0.8458205939866074,0.027778053644811035,0.0034722567056013794
1157,2017-03-01,cycle_drawdown,持仓回撤,9,0.84958467929552,0.04438124444965875,0.0055476555562073435
1157,2017-03-01,cycle_drawdown,持仓回撤,10,0.9887181252875207,0.04438124444965875,0.0055476555562073435
1157,2017-03-01,entry_mode,入场模式,1,0.0,0.020746295195372376,0.002593286899421547
1157,2017-03-01,mom5,五日涨跌,1,-2.166038636230892,-0.02623879236620882,-0.0032798490457761026
1157,2017-03-01,mom5,五日涨跌,2,-1.4549186434214416,-0.02623879236620882,-0.0032798490457761026
1157,2017-03-01,mom5,五日涨跌,3,-1.3423725085392162,0.012205726570159756,0.0015257158212699695
1157,2017-03-01,mom5,五日涨跌,4,-0.3961469848045647,0.012205726570159756,0.0015257158212699695
1157,2017-03-01,mom5,五日涨跌,5,-0.39309721030247463,0.01679145980830072,0.00209893247603759
1157,2017-03-01,mom5,五日涨跌,6,-0.23323955865151738,0.01679145980830072,0.00209893247603759
1157,2017-03-01,mom5,五日涨跌,7,-0.23067678255105548,0.02011499478876246,0.0025143743485953073
1157,2017-03-01,mom5,五日涨跌,8,-0.21357337956418135,0.02011499478876246,0.0025143743485953073
1157,2017-03-01,mom5,五日涨跌,9,-0.211182375250767,0.024533111178430766,0.003066638897303846
1157,2017-03-01,mom5,五日涨跌,10,-0.20813705624482723,0.02668063077864168,0.00333507884733021
1157,2017-03-01,mom5,五日涨跌,11,0.41774690038051576,0.02668063077864168,0.00333507884733021
1157,2017-03-01,mom5,五日涨跌,12,0.41875993874165984,0.03612087623280269,0.004515109529100336
1157,2017-03-01,mom5,五日涨跌,13,2.290943249791599,0.03612087623280269,0.004515109529100336
1157,2017-03-01,mom5,五日涨跌,14,2.742598658771351,0.03716889130495394,0.0046461114131192425
1157,2017-03-01,mom5,五日涨跌,15,3.085502177835721,0.03716889130495394,0.0046461114131192425
1157,2017-03-01,mom20,二十日涨跌,1,-1.5735685642532447,0.03409688586900541,0.004262110733625676
1157,2017-03-01,mom20,二十日涨跌,2,-0.30861627275616105,0.03409688586900541,0.004262110733625676
1157,2017-03-01,mom20,二十日涨跌,3,-0.29866628079878293,0.019808763872187427,0.0024760954840234283
1157,2017-03-01,mom20,二十日涨跌,4,0.29001820781559035,0.019808763872187427,0.0024760954840234283
1157,2017-03-01,mom20,二十日涨跌,5,0.296597937722188,0.01637938590382706,0.0020474232379783827
1157,2017-03-01,mom20,二十日涨跌,6,1.0769429641346684,0.01637938590382706,0.0020474232379783827
1157,2017-03-01,mom20,二十日涨跌,7,1.0960199393538799,-0.008745335703815752,-0.001093166962976969
1157,2017-03-01,mom20,二十日涨跌,8,3.0141861979108224,-0.008745335703815752,-0.001093166962976969
1157,2017-03-01,mom20,二十日涨跌,9,3.1949816411222183,-0.01719183324396313,-0.0021489791554953914
1157,2017-03-01,mom20,二十日涨跌,10,3.289760225246139,-0.01719183324396313,-0.0021489791554953914
1157,2017-03-01,sma120,一百二十日均线偏离,1,-2.379645152170824,0.17400006226650067,0.021750007783312583
1157,2017-03-01,sma120,一百二十日均线偏离,2,-2.3339453799946375,0.12818759294316667,0.016023449117895834
1157,2017-03-01,sma120,一百二十日均线偏离,3,-2.1366258456390774,0.12818759294316667,0.016023449117895834
1157,2017-03-01,sma120,一百二十日均线偏离,4,-2.0577918353875226,0.11565733727810651,0.014457167159763314
1157,2017-03-01,sma120,一百二十日均线偏离,5,-1.9003244508801227,0.09365875870069605,0.011707344837587006
1157,2017-03-01,sma120,一百二十日均线偏离,6,-1.8505053043259938,0.08422696952271423,0.010528371190339279
1157,2017-03-01,sma120,一百二十日均线偏离,7,-1.8198839370836184,0.08267080103359181,0.010333850129198976
1157,2017-03-01,sma120,一百二十日均线偏离,8,-1.7436362833764918,0.07064461816591536,0.00883057727073942
1157,2017-03-01,sma120,一百二十日均线偏离,9,-1.658740357904987,0.07064461816591536,0.00883057727073942
1157,2017-03-01,sma120,一百二十日均线偏离,10,-1.6533274354577945,0.05575260312863535,0.006969075391079419
1157,2017-03-01,sma120,一百二十日均线偏离,11,-1.6251410640845416,0.05575260312863535,0.006969075391079419
1157,2017-03-01,sma120,一百二十日均线偏离,12,-1.5738231601669732,0.052753266331658305,0.006594158291457288
1157,2017-03-01,sma120,一百二十日均线偏离,13,-1.5617137330622617,0.05041737005389555,0.006302171256736944
1157,2017-03-01,sma120,一百二十日均线偏离,14,-1.5372446627915104,0.05041737005389555,0.006302171256736944
1157,2017-03-01,sma120,一百二十日均线偏离,15,-1.5217776953681428,0.03813563460398652,0.004766954325498315
1157,2017-03-01,sma120,一百二十日均线偏离,16,0.7749989809854146,0.03813563460398652,0.004766954325498315
1157,2017-03-01,sma120,一百二十日均线偏离,17,0.7856515242350133,0.034176870098605226,0.004272108762325653
1157,2017-03-01,sma120,一百二十日均线偏离,18,0.8360400609661299,0.034176870098605226,0.004272108762325653
1157,2017-03-01,sma120,一百二十日均线偏离,19,0.8625266084014805,0.016634057783330415,0.002079257222916302
1157,2017-03-01,sma120,一百二十日均线偏离,20,1.0173488804735729,0.016634057783330415,0.002079257222916302
