period,cost,entry_date,exit_date_new,exit_date_old,net_profit_cny_new,net_profit_cny_old,exit_reasons_new,exit_reasons_old
evaluation,BASE,2020-02-05,2020-03-17,2020-02-24,-1610.85407999999,17551.712640000012,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2020-07-01,2020-07-20,2020-07-07,21390.63035999998,32499.69695999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-01-05,2021-02-26,2021-01-14,5195.205199999997,14224.61633999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-02-03,,2021-02-19,,11215.207079999993,,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-10-29,2021-11-02,2021-12-13,316.726800000004,10329.403900000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2021-11-25,2021-11-29,,-4154.400319999986,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2021-12-02,2021-12-06,,2101.362439999997,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2022-05-13,2022-05-17,2022-06-08,-1632.4545599999549,11954.959680000058,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2022-06-08,2022-06-10,,-1545.3979199999883,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2022-08-10,2022-08-12,2022-09-08,1912.375839999993,-5399.229500000016,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,BASE,2024-02-19,2024-02-21,2024-02-26,492.91320000001,7363.206000000006,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-18,2024-06-20,2024-07-18,-621.1609600000083,-999.6410000000031,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2024-06-28,2024-07-02,,807.7339200000279,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2024-08-02,2024-08-06,2024-09-12,-2074.4567999999854,-15599.591279999991,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损
evaluation,BASE,2024-08-28,2024-08-30,,-1887.179839999968,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2024-09-04,2024-09-06,,-75.45912000001408,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2024-09-25,2024-09-27,2024-09-30,11141.471239999984,36316.57100000005,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-04-10,2025-04-14,2025-05-08,1914.4020000000016,7101.703200000047,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-03,2025-06-05,2025-06-26,1349.8167200000023,9658.767300000009,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2025-06-13,2025-06-17,,-639.9682400000456,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2025-12-19,2025-12-24,2026-01-07,2256.622800000012,14899.535999999964,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-01-16,2026-01-21,2026-02-04,-3382.573040000017,-8867.703019999957,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,BASE,2026-05-06,2026-05-08,2026-05-13,664.4203200000338,4160.4443999999785,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-05-13,2026-05-15,,-529.3800000000338,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2026-06-05,2026-06-09,2026-06-22,-6270.318599999999,4165.9629600000335,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,BASE,2026-06-23,2026-06-25,,-4377.999359999987,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,BASE,2026-07-23,2026-07-27,2026-08-14,-3195.80799999999,-2963.545199999993,连续两个收盘预测继续持有收益为负，学习条件请求退出,研究终点统一开盘退出
evaluation,BASE,2026-08-07,2026-08-11,,1440.7411199999333,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2020-02-05,2020-03-17,2020-02-24,-1898.1064400000032,17224.341519999987,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2020-07-01,2020-07-20,2020-07-07,21073.214080000034,32074.51455999998,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-01-05,2021-02-26,2021-01-14,4849.667199999996,13764.148719999996,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-02-03,,2021-02-19,,10763.862119999976,,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-10-29,2021-11-02,2021-12-13,79.84255999999004,9885.849600000016,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2021-11-25,2021-11-29,,-4344.01695999995,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2021-12-02,2021-12-06,,1849.5092000000004,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2022-05-13,2022-05-17,2022-06-08,-1880.6015999999945,11471.807519999971,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2022-06-08,2022-06-10,,-1781.9932800000531,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2022-08-10,2022-08-12,2022-09-08,1633.180640000006,-5678.294999999984,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,STRESS,2024-02-19,2024-02-21,2024-02-26,185.1902399999672,6853.626000000018,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-06-18,2024-06-20,2024-07-18,-899.0851199999743,-1380.6787999999651,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2024-06-28,2024-07-02,,499.3337599999795,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2024-08-02,2024-08-06,2024-09-12,-2321.6073600000527,-15728.388680000033,连续两个收盘预测继续持有收益为负，学习条件请求退出,持仓含分红收益触及固定止损
evaluation,STRESS,2024-08-28,2024-08-30,,-2143.137919999979,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2024-09-04,2024-09-06,,-368.6519200000039,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2024-09-25,2024-09-27,2024-09-30,10586.58076000004,35268.33939999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-04-10,2025-04-14,2025-05-08,1580.5025599999935,6563.138000000035,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-06-03,2025-06-05,2025-06-26,1035.2708799999964,9059.299200000009,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2025-06-13,2025-06-17,,-897.043079999974,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2025-12-19,2025-12-24,2026-01-07,1941.743999999948,14202.84799999994,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-01-16,2026-01-21,2026-02-04,-3517.246799999993,-9032.071839999931,连续两个收盘预测继续持有收益为负，学习条件请求退出,本持仓模式的价格退出条件成立
evaluation,STRESS,2026-05-06,2026-05-08,2026-05-13,404.9137599999958,3694.7724000000735,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-05-13,2026-05-15,,-746.6300000000047,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2026-06-05,2026-06-09,2026-06-22,-6275.333400000003,3692.656799999997,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出
evaluation,STRESS,2026-06-23,2026-06-25,,-4477.784400000004,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
evaluation,STRESS,2026-07-23,2026-07-27,2026-08-14,-3311.5094399999944,-3261.6424799999804,连续两个收盘预测继续持有收益为负，学习条件请求退出,研究终点统一开盘退出
evaluation,STRESS,2026-08-07,2026-08-11,,1160.3558399999747,,连续两个收盘预测继续持有收益为负，学习条件请求退出,
earlier_diagnostic,BASE,2017-05-18,2017-08-14,2017-07-21,23578.109999999982,30731.679000000004,预定最长持有交易日到期,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2019-02-28,2019-05-07,2019-03-06,1001.116399999999,10195.433519999904,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,BASE,2019-05-31,2019-07-05,2019-06-25,18861.122520000037,16392.54739999998,本持仓模式的价格退出条件成立,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2017-05-18,2017-08-14,2017-07-21,22943.407999999938,30032.571199999948,预定最长持有交易日到期,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2019-02-28,2019-05-07,2019-03-06,588.9813200000208,9662.759120000002,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出
earlier_diagnostic,STRESS,2019-05-31,2019-07-05,2019-07-03,18202.66183999996,23211.302120000008,本持仓模式的价格退出条件成立,连续两个收盘预测继续持有收益为负，学习条件请求退出
