fit_index,fit_origin,source_input_identity,first_fit_index,reused,independent_curve_max_error,curve_count
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157,False,1.0113437864944785e-15,8
1180,2017-04-05,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157,True,1.0113437864944785e-15,8
1198,2017-05-02,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157,True,1.0113437864944785e-15,8
1218,2017-06-01,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218,False,2.4147350785597155e-15,8
1240,2017-07-03,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218,True,2.4147350785597155e-15,8
1261,2017-08-01,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218,True,2.4147350785597155e-15,8
1284,2017-09-01,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284,False,2.3245294578089215e-16,8
1305,2017-10-09,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284,True,2.3245294578089215e-16,8
1322,2017-11-01,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284,True,2.3245294578089215e-16,8
1344,2017-12-01,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344,False,1.1171619185290638e-14,8
1365,2018-01-02,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344,True,1.1171619185290638e-14,8
1387,2018-02-01,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344,True,1.1171619185290638e-14,8
1402,2018-03-01,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,False,2.192690473634684e-15,8
1424,2018-04-02,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402,True,2.192690473634684e-15,8
