first_fit_index,first_fit_origin,source_input_identity,feature,factor_chinese,mean,scale,weighted_covariance,direction,direction_chinese,constant_reason_chinese,weight,weighted_mse,original_support_points,saved_knots
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,log_holding_days,持仓时间对数,2.683029251596902,1.1166354306899884,0.0009718134904320129,1,不下降,按成熟协方差方向拟合,0.125,0.00918888446725188,59,5
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,cycle_return,含分红浮盈浮亏,0.06806240259819438,0.11115419140940028,-0.00611438089390324,-1,不上升,按成熟协方差方向拟合,0.125,0.00911291337077054,399,17
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,cycle_drawdown,持仓回撤,-0.019530351028669003,0.01975320420366477,0.009411666338749266,1,不下降,按成熟协方差方向拟合,0.125,0.009065145485698442,307,10
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,entry_mode,入场模式,1.0,1.0,0.0,0,常数,因素恒定,0.125,0.009356996757537876,1,1
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,mom5,五日涨跌,0.0010979532150495615,0.048091068914891795,0.010645556518984996,1,不下降,按成熟协方差方向拟合,0.125,0.00903215243545142,438,15
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,mom20,二十日涨跌,0.03555551928624752,0.0728356195582691,-0.0034391343323710933,-1,不上升,按成熟协方差方向拟合,0.125,0.009161609781989618,438,10
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,sma120,一百二十日均线偏离,0.10851232127477688,0.1474305920699039,-0.008336995438426989,-1,不上升,按成熟协方差方向拟合,0.125,0.00814219304165854,438,29
1157,2017-03-01,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,vol20,二十日波动,0.25265925293704133,0.12240290324156698,-0.022029406831070075,-1,不上升,按成熟协方差方向拟合,0.125,0.007941067303265692,438,18
1218,2017-06-01,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,log_holding_days,持仓时间对数,2.7297618364650904,1.1016544011039644,-0.0012307765905625405,-1,不上升,按成熟协方差方向拟合,0.125,0.00860732233250135,59,18
1218,2017-06-01,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,cycle_return,含分红浮盈浮亏,0.0628268933408663,0.10731223765710536,-0.003373182145314996,-1,不上升,按成熟协方差方向拟合,0.125,0.008605068343691562,446,17
