period,cost,year,return_difference_vs128
evaluation,BASE,2020,-0.14499806459999884
evaluation,BASE,2021,-0.12519037062738844
evaluation,BASE,2022,-0.03266477351267038
evaluation,BASE,2023,0.0
evaluation,BASE,2024,-0.06486497506000485
evaluation,BASE,2025,-0.05018783223412998
evaluation,BASE,2026,-0.09895850982944861
evaluation,STRESS,2020,-0.14417644619999986
evaluation,STRESS,2021,-0.12516033987893352
evaluation,STRESS,2022,-0.03390874839905199
evaluation,STRESS,2023,0.0
evaluation,STRESS,2024,-0.06930513068907407
evaluation,STRESS,2025,-0.05214240816089734
evaluation,STRESS,2026,-0.1013846943546779
earlier_diagnostic,BASE,2015,0.0
earlier_diagnostic,BASE,2016,0.0
earlier_diagnostic,BASE,2017,-0.026351258363681018
earlier_diagnostic,BASE,2018,-2.927340213469687e-05
earlier_diagnostic,BASE,2019,-0.02242008302305437
earlier_diagnostic,STRESS,2015,0.0
earlier_diagnostic,STRESS,2016,0.0
earlier_diagnostic,STRESS,2017,-0.026323731654222193
earlier_diagnostic,STRESS,2018,-1.1483306461654297e-05
earlier_diagnostic,STRESS,2019,-0.04948150880329173
