period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests
evaluation,BASE,190,190,0,26,29,0
evaluation,STRESS,190,190,0,26,29,0
earlier_diagnostic,BASE,340,136,204,0,9,0
earlier_diagnostic,STRESS,340,136,204,0,9,0
