cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,PRICE_RIDGE_H20,2020,0.3800801662999996,0.3782518261335236,0.3318040262305549,0.14738974061987642,2.2512016429032853,-0.06562015441799773,243,0.6023411125312498,7,203.06674000000004,620.2000000000348,False,5.820766091346741e-11
BASE,PRICE_RIDGE_H20,2021,0.06556300946095325,0.06528458174967407,0.0659148495392881,0.07335236737489305,0.8986056196715111,-0.046751909923649144,243,0.2819591776341028,7,261.1582,764.3999999999761,False,1.127773430198431e-10
BASE,PRICE_RIDGE_H20,2022,-0.1612476240945756,-0.1612476240945756,-0.16074382182354496,0.17354742594982547,-0.92622417730366,-0.233954422641424,242,0.6860569508470254,10,229.13782,670.3999999999871,False,5.32054400537163e-11
BASE,PRICE_RIDGE_H20,2023,-0.053645517110681065,-0.053645517110681065,-0.04970138682526937,0.10456359027220159,-0.4753221144748945,-0.15198548287073513,242,0.6752094975358728,9,263.4805,761.7000000000234,False,6.912159733474255e-11
BASE,PRICE_RIDGE_H20,2024,0.07183464927151276,0.07183464927151276,0.08666406295562235,0.18725853686355381,0.4628043367591312,-0.13151885194252752,242,0.4249203044185962,5,177.02408000000003,586.399999999984,False,3.092281986027956e-11
BASE,PRICE_RIDGE_H20,2025,0.04132853316653646,0.041155004297256166,0.04530415982352356,0.09898251149597763,0.45769862917010945,-0.10073588463685297,243,0.44845669173963315,5,213.61190000000002,621.7999999999943,False,4.0472514228895307e-11
BASE,PRICE_RIDGE_H20,2026,-0.002945029437385701,-0.004778804373934601,-0.0033165767846299633,0.054393037661414304,-0.06097428875502386,-0.03866010380963769,149,0.21578613653003054,3,76.57254,241.50000000000915,False,4.5929482439532876e-11
BASE,PRICE_ET_H20,2020,0.09409488580000015,0.09369006711102029,0.10328651722313828,0.16491869202310247,0.6262875114766826,-0.1289661605525855,243,0.46295892040332176,10,214.12284000000002,658.0000000000219,False,4.0472514228895307e-11
BASE,PRICE_ET_H20,2021,-0.03428551516587348,-0.03414685940117947,-0.025728179599919656,0.1342305274070347,-0.19167159734016886,-0.15141915075933948,243,0.6482568627599183,6,150.82136000000003,444.60000000001685,False,4.922640073345974e-11
BASE,PRICE_ET_H20,2022,-0.2426184799579813,-0.2426184799579813,-0.27012974692369907,0.12332886460619671,-2.1903205529885845,-0.257042176700962,242,0.5972472831318538,8,92.92582,296.399999999994,False,5.525180313270539e-11
BASE,PRICE_ET_H20,2023,-0.06902645849437536,-0.06902645849437536,-0.06825551794918161,0.08096354908526576,-0.8430400929843028,-0.10861408968025349,242,0.49117803455788644,6,109.50038,340.89999999998867,False,3.821298832917819e-11
BASE,PRICE_ET_H20,2024,-0.061677371609558156,-0.061677371609558156,-0.06265487923876345,0.044792931391288815,-1.3987671110747704,-0.06739147210407263,242,0.26788524210820974,7,70.91786,209.60000000000338,False,3.228706191293895e-11
BASE,PRICE_ET_H20,2025,0.15077830704308148,0.15011342272366637,0.1434762449801064,0.08467768696759219,1.6943807763079022,-0.0522826258422876,243,0.49377859085298786,7,80.69820000000001,238.00000000001694,False,5.3432813729159534e-11
BASE,PRICE_ET_H20,2026,0.010529371940816767,0.01715751757042872,0.019540153765947466,0.07133895958706503,0.2739057855490568,-0.03800571665033271,149,0.3872130502383851,4,31.8271,99.5999999999964,False,3.228706191293895e-11
BASE,FUNDING_RIDGE_H20,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,FUNDING_RIDGE_H20,2021,0.020231106100000226,0.02014701743125732,0.020405941163871438,0.03039829006786567,0.6712858229299798,-0.016897495426683798,243,0.08253513796843236,4,81.47878,240.5999999999908,False,3.6834535421803594e-11
BASE,FUNDING_RIDGE_H20,2022,-0.18573504637039293,-0.18573504637039293,-0.19523758660578128,0.1426593657919319,-1.368557791645692,-0.24274694636036837,242,0.45481327931533017,7,157.93436,470.2000000000084,False,3.6834535421803594e-11
BASE,FUNDING_RIDGE_H20,2023,-0.0015434942540979337,-0.0015434942540979337,-0.0014845722435531394,0.010992314091383718,-0.13505547887471805,-0.010542113899981066,242,0.020530135289252325,2,16.448,59.99999999999339,False,2.3007373783912044e-11
BASE,FUNDING_RIDGE_H20,2024,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,FUNDING_RIDGE_H20,2025,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,FUNDING_RIDGE_H20,2026,-0.016894291098550195,-0.027294072901937312,-0.026636345260908655,0.04554472698155032,-0.5848392783581456,-0.03858615754740521,149,0.13136253031817177,2,64.81488,202.80000000000769,False,2.3021584638627246e-11
BASE,FUNDING_ET_H20,2020,0.10000505500000069,0.09957367156527733,0.10821517289937713,0.1621333173356213,0.6674456223909128,-0.1289661605525855,243,0.4237982728881637,10,237.18900000000002,737.1000000000315,False,2.8606450541701633e-11
BASE,FUNDING_ET_H20,2021,-0.025769229305949964,-0.025664555726921598,-0.016314689089628995,0.13915365269998517,-0.11724226258582959,-0.14608751904537237,243,0.7114680611050629,8,136.35649999999998,386.10000000001463,False,5.002220859751105e-11
BASE,FUNDING_ET_H20,2022,-0.24400485407308056,-0.24400485407308056,-0.26855997774399454,0.14837107742272662,-1.810056126901577,-0.2709515957421974,242,0.705992224279649,6,93.68848,286.40000000000146,False,5.331912689143792e-11
BASE,FUNDING_ET_H20,2023,-0.04660710446653403,-0.04660710446653403,-0.045225473387997095,0.07086734911336641,-0.6381708072027636,-0.08866258142494629,242,0.30118065841012676,7,151.22466,484.4999999999909,False,3.61524143954739e-11
BASE,FUNDING_ET_H20,2024,-0.01333181856112426,-0.01333181856112426,-0.013281493495814423,0.016751213978139327,-0.7928675207150383,-0.018126793718429634,242,0.07332507321198618,4,37.92388,114.9999999999963,False,3.3310243452433497e-11
BASE,FUNDING_ET_H20,2025,0.1037662040670342,0.1033178474197579,0.10471251775078348,0.11229096955672059,0.9325105853493493,-0.10051905833850687,243,0.5871442615739505,7,125.2147,405.9000000000209,False,4.6782133722444996e-11
BASE,FUNDING_ET_H20,2026,0.013608945760171432,0.022196834531669887,0.03091499041907253,0.1343044718757008,0.23018586043571543,-0.07332241553442491,149,0.7300490680688024,5,58.24998000000001,182.3999999999991,False,4.206412995699793e-11
