year,tenor_days,amount_100m
2015,7,26800.0
2015,14,2630.0
2015,21,1350.0
2015,28,1600.0
2016,0,0.0
2016,7,179050.0
2016,14,39000.0
2016,28,30000.0
2017,0,0.0
2017,7,107700.0
2017,14,60850.0
2017,28,36750.0
2017,63,6300.0
2018,0,0.0
2018,7,71000.0
2018,14,26000.0
2018,28,9100.0
2018,63,2300.0
2019,0,0.0
2019,7,52050.0
2019,14,14700.0
2019,28,7200.0
2020,0,0.0
2020,7,115900.0
2020,14,34500.0
2021,7,73690.0
2021,14,11400.0
2022,7,74410.0
2022,14,23310.0
2023,7,377970.0
2023,14,49900.0
2024,0,0.0
2024,7,350466.9
2024,14,25400.0
2025,7,556261.0
2025,14,26265.0
2026,7,202452.0
