period,cost,control,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,TWO_POLICY_MIN_VARIANCE,2353.248140000069,38.6000000000131,4362.4,510.8518600000001,1536.8999999999332
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,12596.416280000034,10724.300000000003,4379.999999999999,616.28372,1891.5999999999349
evaluation,STRESS,TWO_POLICY_MIN_VARIANCE,330.4307600000175,-165.20000000000437,4319.999999999999,1015.4692400000006,2808.9000000000087
evaluation,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,10114.90920000017,10440.499999999985,4328.799999999999,1237.3908000000006,3417.0
earlier_diagnostic,BASE,TWO_POLICY_MIN_VARIANCE,2839.2739200001233,2751.5,-192.5,-61.57392000000016,-218.70000000000118
earlier_diagnostic,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,10578.277999999962,10397.699999999997,-192.5,-82.77800000000013,-290.29999999999654
earlier_diagnostic,STRESS,TWO_POLICY_MIN_VARIANCE,2945.946480000217,2637.0999999999985,-192.5,-122.44648000000007,-378.9000000000042
earlier_diagnostic,STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,10764.490680000163,10289.300000000003,-192.5,-164.09068000000002,-503.6000000000022
