period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,25,10,61556.09766000021,47284.570660000056,0.7681541302564743
evaluation,STRESS,25,10,56316.20716000001,46368.94960000003,0.8233677645985849
earlier_diagnostic,BASE,16,7,41949.96504000002,58088.75330000001,1.3847151778222313
earlier_diagnostic,STRESS,16,7,39071.675480000005,57407.018200000006,1.4692745446605044
