period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,262,26,26,0,0,0.09329402510583483
evaluation,STRESS,262,26,26,0,0,0.09334920272740956
earlier_diagnostic,BASE,339,16,16,0,0,0.13770182727160424
earlier_diagnostic,STRESS,339,16,16,0,0,0.13772677469815334
