period,date,panic_state,learned_state,target,panic_budget,learned_budget,panic_cycle_risk,learned_cycle_risk,panic_mature_cycles,learned_mature_cycles,panic_squared_loss_sum,learned_squared_loss_sum,panic_latest_maturity,learned_latest_maturity,risk_update_scheduled,last_successful_risk_origin,risk_status
evaluation,2013-06-03,0.0,0.0,0.0,0.6,0.39999999999999997,0.04,0.06,0,0,0.0,0.0,,,True,2013-06-03,EXPLICIT_ORIGINAL_STOP_RISK_PRIOR
evaluation,2013-07-01,1.0,0.0,0.6,0.6,0.39999999999999997,0.04,0.06,0,0,0.0,0.0,,,True,2013-07-01,EXPLICIT_ORIGINAL_STOP_RISK_PRIOR
evaluation,2013-08-01,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2013-08-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2013-09-02,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2013-09-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2013-10-08,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2013-10-08,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2013-11-01,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2013-11-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2013-12-02,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2013-12-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-01-02,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-01-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-02-07,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-02-07,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-03-03,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-03-03,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-04-01,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-04-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-05-05,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-05-05,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-06-03,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-06-03,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-07-01,0.0,0.0,0.0,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-07-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-08-01,0.0,1.0,0.32115682387534183,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-08-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-09-01,0.0,1.0,0.32115682387534183,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-09-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-10-08,0.0,1.0,0.32115682387534183,0.678843176124658,0.32115682387534183,0.028385656820658686,0.06,1,0,1.149102628041408e-05,0.0,2013-07-10,,True,2014-10-08,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-11-03,0.0,0.0,0.0,0.5993902495448507,0.40060975045514946,0.028385656820658686,0.04247047383619268,1,1,1.149102628041408e-05,7.482295741453601e-06,2013-07-10,2014-10-30,True,2014-11-03,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2014-12-01,0.0,1.0,0.40060975045514946,0.5993902495448507,0.40060975045514946,0.028385656820658686,0.04247047383619268,1,1,1.149102628041408e-05,7.482295741453601e-06,2013-07-10,2014-10-30,True,2014-12-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-01-05,0.0,1.0,0.40060975045514946,0.5993902495448507,0.40060975045514946,0.028385656820658686,0.04247047383619268,1,1,1.149102628041408e-05,7.482295741453601e-06,2013-07-10,2014-10-30,True,2015-01-05,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-02-02,0.0,0.0,0.0,0.559409803552196,0.4405901964478039,0.028385656820658686,0.036040780829370817,1,2,1.149102628041408e-05,0.00029681364837222916,2013-07-10,2015-01-20,True,2015-02-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-03-02,0.0,1.0,0.4405901964478039,0.559409803552196,0.4405901964478039,0.028385656820658686,0.036040780829370817,1,2,1.149102628041408e-05,0.00029681364837222916,2013-07-10,2015-01-20,True,2015-03-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-04-01,0.0,1.0,0.4405901964478039,0.559409803552196,0.4405901964478039,0.028385656820658686,0.036040780829370817,1,2,1.149102628041408e-05,0.00029681364837222916,2013-07-10,2015-01-20,True,2015-04-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-05-04,0.0,1.0,0.4405901964478039,0.559409803552196,0.4405901964478039,0.028385656820658686,0.036040780829370817,1,2,1.149102628041408e-05,0.00029681364837222916,2013-07-10,2015-01-20,True,2015-05-04,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-06-01,0.0,0.0,0.0,0.5237137171854838,0.4762862828145162,0.028385656820658686,0.03121223177046232,1,3,1.149102628041408e-05,0.00029681364837222916,2013-07-10,2015-05-15,True,2015-06-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-07-01,0.0,0.0,0.0,0.48712126380993814,0.512878736190062,0.05871671444128548,0.055767880645390754,2,4,0.008742957664338387,0.011950282558392743,2015-06-29,2015-06-23,True,2015-07-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-08-03,0.0,0.0,0.0,0.5230622978560178,0.4769377021439823,0.050850166332909834,0.055767880645390754,3,4,0.008742957664338387,0.011950282558392743,2015-07-13,2015-06-23,True,2015-08-03,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-09-01,1.0,0.0,0.5230622978560178,0.5230622978560178,0.4769377021439823,0.050850166332909834,0.055767880645390754,3,4,0.008742957664338387,0.011950282558392743,2015-07-13,2015-06-23,True,2015-09-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-10-08,0.0,1.0,0.4513687185417572,0.5486312814582427,0.4513687185417572,0.04588122783628692,0.055767880645390754,4,4,0.008925435338826346,0.011950282558392743,2015-09-15,2015-06-23,True,2015-10-08,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-11-02,0.0,1.0,0.4513687185417572,0.5486312814582427,0.4513687185417572,0.04588122783628692,0.055767880645390754,4,4,0.008925435338826346,0.011950282558392743,2015-09-15,2015-06-23,True,2015-11-02,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2015-12-01,0.0,1.0,0.4513687185417572,0.5486312814582427,0.4513687185417572,0.04588122783628692,0.055767880645390754,4,4,0.008925435338826346,0.011950282558392743,2015-09-15,2015-06-23,True,2015-12-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-01-04,0.0,0.0,0.0,0.5265589814122849,0.4734410185877151,0.04588122783628692,0.05102889620229263,4,5,0.008925435338826346,0.01202368948574613,2015-09-15,2015-12-29,True,2016-01-04,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-02-01,1.0,0.0,0.4814597508237445,0.4814597508237445,0.5185402491762555,0.054958979450834555,0.05102889620229263,5,5,0.01652293653366353,0.01202368948574613,2016-01-12,2015-12-29,True,2016-02-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-03-01,1.0,0.0,0.49987020184850095,0.49987020184850095,0.5001297981514989,0.05105539690737806,0.05102889620229263,6,5,0.01664657487358936,0.01202368948574613,2016-02-18,2015-12-29,True,2016-03-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-04-01,0.0,0.0,0.0,0.5165555717189899,0.48344442828101014,0.04775795074329164,0.05102889620229263,7,5,0.01664657487358936,0.01202368948574613,2016-03-03,2015-12-29,True,2016-04-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-05-03,0.0,1.0,0.48344442828101014,0.5165555717189899,0.48344442828101014,0.04775795074329164,0.05102889620229263,7,5,0.01664657487358936,0.01202368948574613,2016-03-03,2015-12-29,True,2016-05-03,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
evaluation,2016-06-01,0.0,1.0,0.48344442828101014,0.5165555717189899,0.48344442828101014,0.04775795074329164,0.05102889620229263,7,5,0.01664657487358936,0.01202368948574613,2016-03-03,2015-12-29,True,2016-06-01,MATURE_CYCLE_RISK_BUDGET_AVAILABLE
