period,initial_panic_budget,mean_panic_budget,minimum_panic_budget,maximum_panic_budget,monthly_origins,status_counts
evaluation,0.48481628208659344,0.45409988347405444,0.4262185016978444,0.4858527396266653,80,{'MATURE_CYCLE_RISK_BUDGET_AVAILABLE': 80}
earlier_diagnostic,0.5993902495448507,0.5096066427579198,0.4814597508237445,0.5993902495448507,60,{'MATURE_CYCLE_RISK_BUDGET_AVAILABLE': 60}
