model,cycle,entry_date,exit_date,maturity_date,entry_capital,maximum_capital_loss,eligible_natural_cycle
PANIC_ONLY,1,2013-06-26,2013-07-10,2013-07-10,199913.37468,0.0033898416305800927,True
PANIC_ONLY,2,2015-06-24,2015-06-29,2015-06-29,199908.07362,0.09344231716978113,True
PANIC_ONLY,3,2015-07-10,2015-07-13,2015-07-13,184840.9608,0.0,True
PANIC_ONLY,4,2015-08-28,2015-09-15,2015-09-15,195139.5201,0.013508429756561524,True
PANIC_ONLY,5,2016-01-07,2016-01-12,2016-01-12,190189.73033999998,0.08716364606208937,True
PANIC_ONLY,6,2016-02-01,2016-02-18,2016-02-18,177007.3944,0.011119277850914377,True
PANIC_ONLY,7,2016-03-02,2016-03-03,2016-03-03,185647.6221,0.0,True
PANIC_ONLY,8,2018-02-13,2018-03-06,2018-03-06,193245.34134,0.0,True
PANIC_ONLY,9,2018-10-15,2018-10-19,2018-10-19,199361.3643,0.04758869269034194,True
PANIC_ONLY,10,2020-02-05,2020-02-18,2020-02-18,189716.53572,0.0,True
PANIC_ONLY,11,2021-07-29,2021-08-11,2021-08-11,202983.38856000002,0.006318687302931281,True
PANIC_ONLY,12,2025-04-09,2025-04-23,2025-04-23,208922.2761,0.0,True
REARM_RIDGE,1,2014-07-30,2014-10-30,2014-10-30,199020.39612000002,0.002735378537141342,True
REARM_RIDGE,2,2014-11-11,2015-01-20,2015-01-20,209925.37668,0.017009742873740796,True
REARM_RIDGE,3,2015-02-11,2015-05-15,2015-05-15,268027.0947,0.0,True
REARM_RIDGE,4,2015-06-03,2015-06-23,2015-06-23,366878.26097999996,0.10795123394394579,True
REARM_RIDGE,5,2015-09-29,2015-12-29,2015-12-29,324277.8426,0.008567784273275425,True
REARM_RIDGE,6,2016-05-03,2016-07-28,2016-07-28,382631.41098000004,0.033431680235653016,True
REARM_RIDGE,7,2017-05-18,2017-08-14,2017-08-14,391193.223,0.0016698218721442615,True
REARM_RIDGE,8,2018-10-09,2018-10-15,2018-10-15,426540.291,0.052726768079220054,True
REARM_RIDGE,9,2019-02-28,2019-03-11,2019-03-11,411968.57724,0.003667476801561431,True
REARM_RIDGE,10,2019-05-31,2019-07-05,2019-07-05,409667.51712000003,0.021051991577535234,True
REARM_RIDGE,11,2020-02-05,2020-03-02,2020-03-02,438885.15948000003,0.0,True
REARM_RIDGE,12,2020-07-01,2020-07-15,2020-07-15,457220.4258000001,0.0,True
REARM_RIDGE,13,2020-08-19,2020-09-11,2020-09-11,529474.8738,0.050277295670229316,True
REARM_RIDGE,14,2021-01-05,2021-01-21,2021-01-21,502153.61064,0.0,True
REARM_RIDGE,15,2021-02-03,2021-02-26,2021-02-26,524781.9354,0.02004986698328326,True
REARM_RIDGE,16,2021-06-08,2021-07-21,2021-07-21,513955.97063999996,0.034584617468040535,True
REARM_RIDGE,17,2021-10-29,2021-11-22,2021-11-22,502423.9647,0.011715135251389674,True
REARM_RIDGE,18,2021-11-25,2021-12-09,2021-12-09,504701.82018000004,0.018192762167422716,True
REARM_RIDGE,19,2022-05-13,2022-05-23,2022-05-23,512019.3834,0.009972441601905135,True
REARM_RIDGE,20,2022-06-08,2022-06-10,2022-06-10,522766.93247999996,0.008037742976715001,True
REARM_RIDGE,21,2022-08-10,2022-08-26,2022-08-26,517318.443,0.014465834538205491,True
REARM_RIDGE,22,2024-02-19,2024-02-23,2024-02-23,514942.968,0.0,True
REARM_RIDGE,23,2024-06-18,2024-07-18,2024-07-18,529559.99082,0.03314183685369365,True
REARM_RIDGE,24,2024-08-02,2024-08-06,2024-08-06,523905.36012,0.015794761325031437,True
REARM_RIDGE,25,2024-08-28,2024-09-12,2024-09-12,520740.92736,0.03518703139561885,True
REARM_RIDGE,26,2024-09-25,2024-09-30,2024-09-30,503852.05026,0.005068651122253298,True
REARM_RIDGE,27,2025-04-10,2025-04-23,2025-04-23,577548.28656,0.0,True
REARM_RIDGE,28,2025-06-03,2025-06-18,2025-06-18,586000.3766399999,0.0,True
REARM_RIDGE,29,2025-12-19,2026-01-16,2026-01-16,593923.16088,0.0,True
REARM_RIDGE,30,2026-05-06,2026-05-08,2026-05-08,621408.65688,0.0,True
REARM_RIDGE,31,2026-05-13,2026-05-18,2026-05-18,620470.5693000001,0.018802430086509725,True
REARM_RIDGE,32,2026-06-05,2026-06-23,2026-06-23,609701.11584,0.03541278714941043,True
REARM_RIDGE,33,2026-07-23,2026-07-31,2026-07-31,632123.49942,0.0361986216949618,True
REARM_RIDGE,34,2026-08-07,2026-08-14,2026-08-14,617944.36416,0.0,False
