date,panic_mature_cycles,learned_mature_cycles,panic_cycle_risk,learned_cycle_risk,panic_budget
2013-06-03,0,0,0.04,0.06,0.6
2013-07-01,0,0,0.04,0.06,0.6
2013-08-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2013-09-02,1,0,0.028385656820658686,0.06,0.6788431761246582
2013-10-08,1,0,0.028385656820658686,0.06,0.6788431761246582
2013-11-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2013-12-02,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-01-02,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-02-07,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-03-03,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-04-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-05-05,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-06-03,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-07-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-08-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-09-01,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-10-08,1,0,0.028385656820658686,0.06,0.6788431761246582
2014-11-03,1,1,0.028385656820658686,0.04247047383619268,0.5993902495448505
2014-12-01,1,1,0.028385656820658686,0.04247047383619268,0.5993902495448505
2015-01-05,1,1,0.028385656820658686,0.04247047383619268,0.5993902495448505
2015-02-02,1,2,0.028385656820658686,0.036040780829370817,0.559409803552196
2015-03-02,1,2,0.028385656820658686,0.036040780829370817,0.559409803552196
2015-04-01,1,2,0.028385656820658686,0.036040780829370817,0.559409803552196
2015-05-04,1,2,0.028385656820658686,0.036040780829370817,0.559409803552196
2015-06-01,1,3,0.028385656820658686,0.03121223177046232,0.5237137171854839
2015-07-01,2,4,0.05871671444128548,0.055767880645390754,0.4871212638099381
2015-08-03,3,4,0.050850166332909834,0.055767880645390754,0.5230622978560178
2015-09-01,3,4,0.050850166332909834,0.055767880645390754,0.5230622978560178
2015-10-08,4,4,0.04588122783628692,0.055767880645390754,0.5486312814582428
