period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,21,8,48959.68138000002,33472.045280000006,0.6836655046875632
evaluation,STRESS,21,8,46201.29795999997,32579.29695999997,0.7051597768574897
earlier_diagnostic,BASE,16,6,31371.687040000084,53725.043160000016,1.7125328035912943
earlier_diagnostic,STRESS,16,6,28307.184800000014,52988.09164000002,1.8718954927654974
