model,days,first_date,terminal_date,max_accounting_error
PANIC_ONLY,3210,2013-06-03,2026-08-14,3.2372327041230164e-11
REARM_RIDGE,3210,2013-06-03,2026-08-14,1.2073542166035622e-10
