period,date,panic_budget,learned_budget,panic_sd,learned_sd,reference_covariance,difference_variance,raw_panic_budget,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target,panic_reference_return,learned_reference_return
evaluation,2013-06-03,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-06-03,,2013-06-03,1,0.0,0.0,0.0,0.0,0.0
evaluation,2013-07-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-07-01,,2013-06-03,18,1.0,0.0,0.5,0.004037774037112474,0.0
evaluation,2013-08-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-08-01,,2013-06-03,41,0.0,0.0,0.0,0.0,0.0
evaluation,2013-09-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-09-02,,2013-06-03,63,0.0,0.0,0.0,0.0,0.0
evaluation,2013-10-08,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-10-08,,2013-06-03,82,0.0,0.0,0.0,0.0,0.0
evaluation,2013-11-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-11-01,,2013-06-03,100,0.0,0.0,0.0,0.0,0.0
evaluation,2013-12-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2013-12-02,,2013-06-03,121,0.0,0.0,0.0,0.0,0.0
evaluation,2014-01-02,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-01-02,,2013-06-03,143,0.0,0.0,0.0,0.0,0.0
evaluation,2014-02-07,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-02-07,,2013-06-03,164,0.0,0.0,0.0,0.0,0.0
evaluation,2014-03-03,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-03-03,,2013-06-03,180,0.0,0.0,0.0,0.0,0.0
evaluation,2014-04-01,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-04-01,,2013-06-03,201,0.0,0.0,0.0,0.0,0.0
evaluation,2014-05-05,0.5,0.5,,,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2014-05-05,,2013-06-03,222,0.0,0.0,0.0,0.0,0.0
evaluation,2014-06-03,0.5,0.5,0.0022058227959976338,0.0,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-06-03,,2013-06-03,242,0.0,0.0,0.0,0.0,0.0
evaluation,2014-07-01,0.5,0.5,0.0018155272551401477,0.0,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-07-01,,2013-07-04,242,0.0,0.0,0.0,0.0,0.0
evaluation,2014-08-01,0.5,0.5,0.0,0.0011630719949945632,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-08-01,,2013-08-06,242,0.0,1.0,0.5,0.0,-0.012034952402521615
evaluation,2014-09-01,0.5,0.5,0.0,0.0027193120449688934,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-09-01,,2013-09-04,242,0.0,1.0,0.5,0.0,0.004593576848575642
evaluation,2014-10-08,0.5,0.5,0.0,0.004009789289630505,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-10-08,,2013-10-14,242,0.0,1.0,0.5,0.0,0.010788572380837635
evaluation,2014-11-03,0.5,0.5,0.0,0.004492318275717223,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-11-03,,2013-11-07,242,0.0,0.0,0.0,0.0,0.0
evaluation,2014-12-01,0.5,0.5,0.0,0.005509549787344483,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2014-12-01,,2013-12-05,242,0.0,1.0,0.5,0.0,0.0010518534188281858
evaluation,2015-01-05,0.5,0.5,0.0,0.010370644389596513,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-01-05,,2014-01-08,242,0.0,1.0,0.5,0.0,0.031878228057484304
evaluation,2015-02-02,0.5,0.5,0.0,0.012530634715641524,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-02-02,,2014-02-12,242,0.0,0.0,0.0,0.0,0.0
evaluation,2015-03-02,0.5,0.5,0.0,0.012738249769374207,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-03-02,,2014-03-05,242,0.0,1.0,0.5,0.0,0.007861833777358163
evaluation,2015-04-01,0.5,0.5,0.0,0.013505473154245383,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-04-01,,2014-04-04,242,0.0,1.0,0.5,0.0,0.016362919442769908
evaluation,2015-05-04,0.5,0.5,0.0,0.014187790618070423,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-05-04,,2014-05-08,242,0.0,1.0,0.5,0.0,0.00548348516241548
evaluation,2015-06-01,0.5,0.5,0.0,0.014692170253160886,,,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,True,2015-06-01,,2014-06-06,242,0.0,0.0,0.0,0.0,0.0
evaluation,2015-07-01,0.8909150641960759,0.10908493580392409,0.005590840509764515,0.015829265408410193,6.585041245572761e-07,0.00028050613272640064,0.8909150641960759,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-07-01,2015-07-01,2014-07-07,242,0.0,0.0,0.0,0.0,0.0
evaluation,2015-08-03,0.8341307398516258,0.16586926014837422,0.007022492856462704,0.015727603953285228,1.5934807012140173e-07,0.00029635423589021917,0.8341307398516258,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-08-03,2015-08-03,2014-08-07,242,0.0,0.0,0.0,0.0,0.0
evaluation,2015-09-01,0.8143235163188842,0.18567648368111578,0.007427275857662447,0.01556617772685239,-1.0946611914119866e-07,0.0002976892479280535,0.8143235163188842,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-09-01,2015-09-01,2014-09-05,242,1.0,0.0,0.8143235163188842,-0.003827198329051651,0.0
evaluation,2015-10-08,0.7772784749120664,0.22272152508793364,0.008312399286312347,0.01550843043654764,2.5200363655091366e-07,0.00030910338922722247,0.7772784749120664,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-10-08,2015-10-08,2014-10-13,242,0.0,1.0,0.22272152508793364,0.0,0.03557167022667196
evaluation,2015-11-02,0.787887573429179,0.21211242657082097,0.008312399286312343,0.015996370010398924,2.843478425704208e-07,0.0003244111397195361,0.787887573429179,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-11-02,2015-11-02,2014-11-05,242,0.0,1.0,0.21211242657082097,0.0,-0.016551623582203523
evaluation,2015-12-01,0.7988015649810155,0.2011984350189845,0.00831239928631234,0.016541915216367668,2.3268443940237352e-07,0.0003422655720417768,0.7988015649810155,MIN_VARIANCE_BUDGET_AVAILABLE,True,2015-12-01,2015-12-01,2014-12-04,242,0.0,1.0,0.2011984350189845,0.0,0.007673288849558091
evaluation,2016-01-04,0.7658917482426955,0.23410825175730454,0.008312399286312338,0.01502384828390321,1.4678939240726037e-07,0.00029451842036801244,0.7658917482426955,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-01-04,2016-01-04,2015-01-08,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-02-01,0.6806990897385812,0.3193009102614188,0.009124402555488572,0.013289029095962161,7.842246292362786e-07,0.0002582845670494624,0.6806990897385812,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-02-01,2016-02-01,2015-02-05,242,1.0,0.0,0.6806990897385812,-0.011098615071803986,0.0
evaluation,2016-03-01,0.6490466426957654,0.3509533573042346,0.009522321727735848,0.012937290446816532,3.7493542613131046e-07,0.000257298224339538,0.6490466426957654,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-03-01,2016-03-01,2015-03-06,242,1.0,0.0,0.6490466426957654,0.0,0.0
evaluation,2016-04-01,0.6008338705034784,0.39916612949652164,0.009917374482980176,0.01216629649841418,5.2189986458147576e-08,0.0002462687071500746,0.6008338705034784,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-04-01,2016-04-01,2015-04-09,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-05-03,0.5543725191066194,0.44562748089338056,0.00991737448298018,0.011060980403909435,4.1454879476801855e-08,0.0002206166943723805,0.5543725191066194,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-05-03,2016-05-03,2015-05-08,242,0.0,1.0,0.44562748089338056,0.0,0.0168862458390886
evaluation,2016-06-01,0.559834203432185,0.44016579656781496,0.009917374482980182,0.011184324198370354,1.808115016087012e-08,0.00022340726210959728,0.559834203432185,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-06-01,2016-06-01,2015-06-08,242,0.0,1.0,0.44016579656781496,0.0,-0.00410117664609666
evaluation,2016-07-01,0.60058101446714,0.39941898553286004,0.008183251572058377,0.01003826178418383,-1.4844346105216654e-07,0.00016802919286150553,0.60058101446714,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-07-01,2016-07-01,2015-07-07,242,0.0,1.0,0.39941898553286004,0.0,-0.0009488200127778512
evaluation,2016-08-01,0.6866775192232758,0.3133224807767242,0.007002882743004238,0.0103666609659826,7.723618196066775e-09,0.00015649257905950203,0.6866775192232758,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-08-01,2016-08-01,2015-08-05,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-09-01,0.74121388293565,0.25878611706434995,0.006131259657187169,0.010366660965982597,1.0950791856147524e-07,0.0001448409887303558,0.74121388293565,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-09-01,2016-09-01,2015-09-09,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-10-10,0.7630793894754497,0.23692061052455027,0.0054082729679780835,0.009707980841161342,-1.6972960140719122e-08,0.00012352825442879956,0.7630793894754497,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-10-10,2016-10-10,2015-10-14,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-11-01,0.6958537005249866,0.30414629947501337,0.005408272967978081,0.008181030115196362,-7.582563757444928e-09,9.619383536942716e-05,0.6958537005249866,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-11-01,2016-11-01,2015-11-05,242,0.0,0.0,0.0,0.0,0.0
evaluation,2016-12-01,0.5743729446709533,0.42562705532904666,0.0054082729679780775,0.006282795835647594,-6.226009026730071e-09,6.87353920266468e-05,0.5743729446709533,MIN_VARIANCE_BUDGET_AVAILABLE,True,2016-12-01,2016-12-01,2015-12-07,242,0.0,0.0,0.0,0.0,0.0
evaluation,2017-01-03,0.46748355944920617,0.5325164405507938,0.005408272967978075,0.0050672312133182166,-4.398760397526787e-09,5.4935046186184206e-05,0.46748355944920617,MIN_VARIANCE_BUDGET_AVAILABLE,True,2017-01-03,2017-01-03,2016-01-07,242,0.0,0.0,0.0,0.0,0.0
evaluation,2017-02-03,0.6359063890961874,0.36409361090381265,0.0038314628312441814,0.005067231213318216,-5.002132562260457e-08,4.0456982247677265e-05,0.6359063890961874,MIN_VARIANCE_BUDGET_AVAILABLE,True,2017-02-03,2017-02-03,2016-02-02,242,0.0,0.0,0.0,0.0,0.0
