period,initial_panic_budget,initial_risk_origin,initial_risk_status,panic_state_different_days,learned_state_different_days,target_different_days,budget_different_days,new_monthly_status_counts
evaluation,0.9057106208903908,2019-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0,0,245,1604,"{'NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET': 43, 'MIN_VARIANCE_BUDGET_AVAILABLE': 37}"
earlier_diagnostic,0.5,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0,0,252,1099,"{'MIN_VARIANCE_BUDGET_AVAILABLE': 38, 'NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET': 22}"
