period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,198,22,23,0,0,0.044585779150991024
evaluation,STRESS,198,22,23,0,0,0.04460440927006789
earlier_diagnostic,BASE,339,17,18,0,0,0.11458489947978016
earlier_diagnostic,STRESS,339,17,18,0,0,0.1146310833475733
