period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,23,0.520577686047198
evaluation,STRESS,1604,23,0.47570362144579936
earlier_diagnostic,BASE,1219,9,0.580531084894911
earlier_diagnostic,STRESS,1219,9,0.5586843780119279
