period,cost,origin,actual_cycle,fit_origin,neighbor_cycle,neighbor_origin_index,squared_distance,target
evaluation,BASE,2020-02-05,1,2020-02-03,18,1691,1.4578380586898023,0.058332971506105794
evaluation,BASE,2020-02-05,1,2020-02-03,8,881,2.007102832145029,-0.025405979073243636
evaluation,BASE,2020-02-05,1,2020-02-03,16,1550,2.1132588308909965,-0.04922092307692312
evaluation,BASE,2020-02-05,1,2020-02-03,6,814,3.43723770957755,0.17400006226650067
evaluation,BASE,2020-02-05,1,2020-02-03,4,657,4.4439149392175645,0.41855622343655136
evaluation,BASE,2020-02-06,1,2020-02-03,18,1691,1.2286067662867441,0.058332971506105794
evaluation,BASE,2020-02-06,1,2020-02-03,16,1550,1.522522148309748,-0.04922092307692312
evaluation,BASE,2020-02-06,1,2020-02-03,4,657,3.5517182065829553,0.41855622343655136
evaluation,BASE,2020-02-06,1,2020-02-03,8,881,3.5961170121938926,-0.025405979073243636
evaluation,BASE,2020-02-06,1,2020-02-03,6,814,4.080193332529213,0.17400006226650067
evaluation,BASE,2020-02-07,1,2020-02-03,18,1691,1.4573237385511175,0.058332971506105794
evaluation,BASE,2020-02-07,1,2020-02-03,16,1550,1.7407366623569334,-0.04922092307692312
evaluation,BASE,2020-02-07,1,2020-02-03,4,658,3.2734032664694652,0.4006992206235013
evaluation,BASE,2020-02-07,1,2020-02-03,6,815,3.5052801250471686,0.12396923994038746
evaluation,BASE,2020-02-07,1,2020-02-03,9,957,5.146447218865475,0.01501107288082565
evaluation,BASE,2020-02-10,1,2020-02-03,18,1695,1.0940477857007953,0.045567292225201055
evaluation,BASE,2020-02-10,1,2020-02-03,6,817,3.46741543129931,0.11565733727810651
evaluation,BASE,2020-02-10,1,2020-02-03,4,662,3.5472523622555774,0.352070775462963
evaluation,BASE,2020-02-10,1,2020-02-03,9,958,5.810489138977246,0.013110084295972468
evaluation,BASE,2020-02-10,1,2020-02-03,10,1023,6.424096486848393,0.030149314651233553
evaluation,BASE,2020-02-11,1,2020-02-03,18,1695,0.6120336870215084,0.045567292225201055
evaluation,BASE,2020-02-11,1,2020-02-03,4,662,3.014033330196478,0.352070775462963
evaluation,BASE,2020-02-11,1,2020-02-03,6,817,3.0510002191129297,0.11565733727810651
evaluation,BASE,2020-02-11,1,2020-02-03,9,958,4.9575660152014756,0.013110084295972468
evaluation,BASE,2020-02-11,1,2020-02-03,10,1023,5.242031893164995,0.030149314651233553
evaluation,BASE,2020-02-12,1,2020-02-03,18,1695,0.58015482994405,0.045567292225201055
evaluation,BASE,2020-02-12,1,2020-02-03,4,662,2.8759292596922204,0.352070775462963
evaluation,BASE,2020-02-12,1,2020-02-03,6,817,3.289416903851397,0.11565733727810651
evaluation,BASE,2020-02-12,1,2020-02-03,9,976,4.956924551042938,0.02365457413249203
evaluation,BASE,2020-02-12,1,2020-02-03,10,1023,5.217742114355412,0.030149314651233553
evaluation,BASE,2020-02-13,1,2020-02-03,18,1694,0.9152878020568628,0.05205325060695982
evaluation,BASE,2020-02-13,1,2020-02-03,4,661,3.178863567076566,0.35717513796108047
evaluation,BASE,2020-02-13,1,2020-02-03,6,816,3.5307501405674167,0.1324059459459459
evaluation,BASE,2020-02-13,1,2020-02-03,16,1550,4.138617684798557,-0.04922092307692312
evaluation,BASE,2020-02-13,1,2020-02-03,9,976,4.4599400395844535,0.02365457413249203
evaluation,BASE,2020-02-14,1,2020-02-03,18,1695,0.7278048914046675,0.045567292225201055
evaluation,BASE,2020-02-14,1,2020-02-03,4,661,2.991560453732761,0.35717513796108047
evaluation,BASE,2020-02-14,1,2020-02-03,6,817,3.687907266745089,0.11565733727810651
evaluation,BASE,2020-02-14,1,2020-02-03,9,976,4.490599430839021,0.02365457413249203
evaluation,BASE,2020-02-14,1,2020-02-03,17,1665,4.636865598961829,-0.052891319979455564
evaluation,BASE,2020-02-17,1,2020-02-03,18,1695,1.175786131101787,0.045567292225201055
evaluation,BASE,2020-02-17,1,2020-02-03,4,662,2.732314390396674,0.352070775462963
evaluation,BASE,2020-02-17,1,2020-02-03,6,821,3.5280690664619314,0.05925780898876401
evaluation,BASE,2020-02-17,1,2020-02-03,17,1665,4.014366884557467,-0.052891319979455564
evaluation,BASE,2020-02-17,1,2020-02-03,10,1028,4.5303573779065465,-0.02169077234596476
evaluation,BASE,2020-02-18,1,2020-02-03,18,1695,1.1224014169306975,0.045567292225201055
evaluation,BASE,2020-02-18,1,2020-02-03,4,661,2.988588074326251,0.35717513796108047
evaluation,BASE,2020-02-18,1,2020-02-03,17,1665,4.135994891321496,-0.052891319979455564
evaluation,BASE,2020-02-18,1,2020-02-03,9,976,4.254519191209335,0.02365457413249203
evaluation,BASE,2020-02-18,1,2020-02-03,6,817,4.32400237184541,0.11565733727810651
evaluation,BASE,2020-02-19,1,2020-02-03,18,1695,1.3684396654884905,0.045567292225201055
evaluation,BASE,2020-02-19,1,2020-02-03,4,661,3.1611136837518115,0.35717513796108047
evaluation,BASE,2020-02-19,1,2020-02-03,17,1665,3.794954193340981,-0.052891319979455564
evaluation,BASE,2020-02-19,1,2020-02-03,9,976,4.223612046874571,0.02365457413249203
evaluation,BASE,2020-02-19,1,2020-02-03,6,817,4.512159375777489,0.11565733727810651
evaluation,BASE,2020-02-20,1,2020-02-03,18,1695,2.124407517814857,0.045567292225201055
evaluation,BASE,2020-02-20,1,2020-02-03,4,662,3.0485244683076598,0.352070775462963
evaluation,BASE,2020-02-20,1,2020-02-03,6,821,3.3351348935266762,0.05925780898876401
evaluation,BASE,2020-02-20,1,2020-02-03,17,1667,3.3800757046383056,-0.06394659898477163
evaluation,BASE,2020-02-20,1,2020-02-03,10,1028,4.256222308511304,-0.02169077234596476
evaluation,BASE,2020-02-21,1,2020-02-03,18,1695,2.374660005552254,0.045567292225201055
evaluation,BASE,2020-02-21,1,2020-02-03,17,1665,3.1188294166245294,-0.052891319979455564
evaluation,BASE,2020-02-21,1,2020-02-03,4,662,3.2558802999308036,0.352070775462963
evaluation,BASE,2020-02-21,1,2020-02-03,6,822,3.375979123070601,0.04836396997497913
evaluation,BASE,2020-02-21,1,2020-02-03,10,1028,4.214565766556988,-0.02169077234596476
evaluation,BASE,2020-02-24,1,2020-02-03,18,1704,2.4633430936506224,0.06965145364783325
evaluation,BASE,2020-02-24,1,2020-02-03,17,1665,2.9339974952507166,-0.052891319979455564
evaluation,BASE,2020-02-24,1,2020-02-03,4,670,3.2925547236808255,0.33622098941950246
evaluation,BASE,2020-02-24,1,2020-02-03,6,871,3.8331163357970706,-0.029337760617760587
evaluation,BASE,2020-02-24,1,2020-02-03,10,1032,4.6451275683424615,-0.011108888888888963
evaluation,BASE,2020-02-25,1,2020-02-03,18,1704,2.149195642420916,0.06965145364783325
evaluation,BASE,2020-02-25,1,2020-02-03,17,1665,3.21448934721267,-0.052891319979455564
evaluation,BASE,2020-02-25,1,2020-02-03,4,670,3.277884016700221,0.33622098941950246
evaluation,BASE,2020-02-25,1,2020-02-03,6,866,3.622206449979718,-0.009714443277310905
evaluation,BASE,2020-02-25,1,2020-02-03,9,976,4.408554540158042,0.02365457413249203
evaluation,BASE,2020-02-26,1,2020-02-03,18,1704,1.785224343700697,0.06965145364783325
evaluation,BASE,2020-02-26,1,2020-02-03,4,670,3.0493633000291496,0.33622098941950246
evaluation,BASE,2020-02-26,1,2020-02-03,6,856,3.0893413922407227,-0.0031714512291831903
