拟合收盘,因子,训练均值,训练标准差,固定不同周期邻居数
2017-03-01,持仓时间对数,2.683029251596902,1.1166354306899884,5
2017-03-01,不含已付买入费用的市场涨跌,0.06896927352742299,0.11127510210919916,5
2017-03-01,不含已付买入费用的市场回撤,-0.019429698813367,0.019755697815134875,5
2017-03-01,入场模式,1.0,1.0,5
2017-03-01,五日涨跌,0.0010979532150495615,0.048091068914891795,5
2017-03-01,二十日涨跌,0.03555551928624752,0.0728356195582691,5
2017-03-01,一百二十日均线偏离,0.10851232127477688,0.1474305920699039,5
2017-03-01,二十日波动,0.25265925293704133,0.12240290324156698,5
2017-04-05,持仓时间对数,2.683029251596902,1.1166354306899884,5
2017-04-05,不含已付买入费用的市场涨跌,0.06896927352742299,0.11127510210919916,5
2017-04-05,不含已付买入费用的市场回撤,-0.019429698813367,0.019755697815134875,5
2017-04-05,入场模式,1.0,1.0,5
2017-04-05,五日涨跌,0.0010979532150495615,0.048091068914891795,5
2017-04-05,二十日涨跌,0.03555551928624752,0.0728356195582691,5
2017-04-05,一百二十日均线偏离,0.10851232127477688,0.1474305920699039,5
2017-04-05,二十日波动,0.25265925293704133,0.12240290324156698,5
2017-05-02,持仓时间对数,2.683029251596902,1.1166354306899884,5
2017-05-02,不含已付买入费用的市场涨跌,0.06896927352742299,0.11127510210919916,5
2017-05-02,不含已付买入费用的市场回撤,-0.019429698813367,0.019755697815134875,5
2017-05-02,入场模式,1.0,1.0,5
2017-05-02,五日涨跌,0.0010979532150495615,0.048091068914891795,5
2017-05-02,二十日涨跌,0.03555551928624752,0.0728356195582691,5
2017-05-02,一百二十日均线偏离,0.10851232127477688,0.1474305920699039,5
2017-05-02,二十日波动,0.25265925293704133,0.12240290324156698,5
2017-06-01,持仓时间对数,2.7297618364650904,1.1016544011039644,5
2017-06-01,不含已付买入费用的市场涨跌,0.06372355032297171,0.10743114734616414,5
2017-06-01,不含已付买入费用的市场回撤,-0.01875840328559604,0.019259414691962334,5
2017-06-01,入场模式,1.0,1.0,5
2017-06-01,五日涨跌,0.0009775255752508109,0.04598855844173999,5
2017-06-01,二十日涨跌,0.033069529984418804,0.07015135777363184,5
2017-06-01,一百二十日均线偏离,0.1002087790822308,0.14305289416462635,5
2017-06-01,二十日波动,0.23782635816521894,0.12583680944702452,5
2017-07-03,持仓时间对数,2.7297618364650904,1.1016544011039644,5
2017-07-03,不含已付买入费用的市场涨跌,0.06372355032297171,0.10743114734616414,5
2017-07-03,不含已付买入费用的市场回撤,-0.01875840328559604,0.019259414691962334,5
2017-07-03,入场模式,1.0,1.0,5
2017-07-03,五日涨跌,0.0009775255752508109,0.04598855844173999,5
2017-07-03,二十日涨跌,0.033069529984418804,0.07015135777363184,5
2017-07-03,一百二十日均线偏离,0.1002087790822308,0.14305289416462635,5
2017-07-03,二十日波动,0.23782635816521894,0.12583680944702452,5
2017-08-01,持仓时间对数,2.7297618364650904,1.1016544011039644,5
2017-08-01,不含已付买入费用的市场涨跌,0.06372355032297171,0.10743114734616414,5
2017-08-01,不含已付买入费用的市场回撤,-0.01875840328559604,0.019259414691962334,5
2017-08-01,入场模式,1.0,1.0,5
2017-08-01,五日涨跌,0.0009775255752508109,0.04598855844173999,5
2017-08-01,二十日涨跌,0.033069529984418804,0.07015135777363184,5
2017-08-01,一百二十日均线偏离,0.1002087790822308,0.14305289416462635,5
2017-08-01,二十日波动,0.23782635816521894,0.12583680944702452,5
2017-09-01,持仓时间对数,2.768705657188581,1.087479792099638,5
2017-09-01,不含已付买入费用的市场涨跌,0.06442781840060542,0.10342296625372333,5
2017-09-01,不含已付买入费用的市场回撤,-0.01755909428679411,0.01892028486561355,5
2017-09-01,入场模式,1.0,1.0,5
2017-09-01,五日涨跌,0.0016471682817893157,0.04426292549376218,5
