period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,sign_exit_confirmation_origins,momentum_exit_confirmation_origins,risk_capped_origins,full_target_origins
evaluation,RETURN_SIGN_BALANCE,BASE,1604,678,926,0,34,28,36,647,31
evaluation,RETURN_SIGN_BALANCE,STRESS,1604,678,926,0,34,28,36,647,31
earlier_diagnostic,RETURN_SIGN_BALANCE,BASE,1219,648,571,0,17,20,24,543,105
earlier_diagnostic,RETURN_SIGN_BALANCE,STRESS,1219,648,571,0,17,20,24,543,105
