period,cost,all_factor_rows,decision_origins,sign_balance_max_error,raw_dividend_returns_reconstructed,independent_actual_positive_negative_zero_day_counts,full_direction_and_separate_confirmation_counters_equal
evaluation,BASE,3456,1604,0.0,True,True,True
evaluation,STRESS,3456,1604,0.0,True,True,True
earlier_diagnostic,BASE,1852,1219,0.0,True,True,True
earlier_diagnostic,STRESS,1852,1219,0.0,True,True,True
