period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,264,26,30,0,0,0.05272219810160838
evaluation,STRESS,264,26,30,0,0,0.05274122350684998
earlier_diagnostic,BASE,328,26,21,0,0,0.12270718169670668
earlier_diagnostic,STRESS,334,26,21,0,0,0.12760325029037953
