period,cost,year,days,held_closes,net_profit,cumulative_return,return_excess_vs_COVARIANCE_REFERENCE_PAIR,net_profit_difference_vs_COVARIANCE_REFERENCE_PAIR,return_excess_vs_CONTINUOUS_REFERENCE_MIN_VARIANCE,net_profit_difference_vs_CONTINUOUS_REFERENCE_MIN_VARIANCE,return_excess_vs_BUY_HOLD,net_profit_difference_vs_BUY_HOLD
evaluation,BASE,2020,243,52,21509.31764000001,0.10754658819999952,0.0,0.0,0.0400311755999998,8006.235119999996,-0.173941858600001,-34788.37171999998
evaluation,BASE,2021,243,64,9810.414459999985,0.04428894714011089,-0.005463276727558641,-1210.1666999999998,0.0033887128346785644,1078.0883599999997,0.08337942831072909,19829.21445999998
evaluation,BASE,2022,242,36,115.08568000000434,0.0004975177817954091,0.0005912695105515509,136.8857600000007,-0.00024793156414260054,-50.5795600000007,0.19604005951221815,48273.08567999999
evaluation,BASE,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09161073352048144,18150.0
evaluation,BASE,2024,242,42,9334.458880000011,0.040332992976334525,-0.0003493226594362131,-124.50898000000052,-0.00018753502108292963,322.64993999999933,-0.11887497727870788,-19318.34111999999
evaluation,BASE,2025,243,30,12904.06740000002,0.05359515789974534,-0.0005152096186837873,-188.85950000000048,-7.212158106284505e-06,499.7884200000026,-0.1364101100619306,-26735.532599999977
evaluation,BASE,2026,149,40,5612.777800000024,0.02212600547684107,0.004111600405666271,1018.0237600000028,0.0010343006827369106,470.25820000000385,0.0020353392617196153,625.002920000029
evaluation,STRESS,2020,243,52,21079.890519999997,0.10539945259999972,0.0,0.0,0.039480230200000355,7896.046039999988,-0.1754052474000023,-35081.04948
evaluation,STRESS,2021,243,64,9395.847960000026,0.04249978565621659,-0.005225353229925567,-1155.220519999999,0.003329454244057617,1045.3661199999988,0.08161113495092143,19414.647960000024
evaluation,STRESS,2022,242,36,-116.13843999999688,-0.0005039074427791723,0.0005061513205657509,117.82243999999207,-0.00025622790294677067,-61.268919999999525,0.19514727199362258,48041.86155999999
evaluation,STRESS,2023,242,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167400984745655,18150.0
evaluation,STRESS,2024,242,42,8629.815599999993,0.03746236579027595,-0.0004989458575295203,-154.3179599999985,-0.0005753881473613554,205.2345200000018,-0.1218666692861563,-20022.98440000001
evaluation,STRESS,2025,243,30,12314.77371999996,0.051528531868332283,-0.0004496439054120227,-169.4033600000057,3.6125605423986684e-05,476.4615999999969,-0.1386013630785652,-27324.826280000038
evaluation,STRESS,2026,149,40,4900.3358400000025,0.01949961857969673,0.0043467399404029106,1071.7290800000133,0.0010545759134030774,441.38788000000204,-2.7468204329528234e-05,55.1473599999963
earlier_diagnostic,BASE,2015,244,158,30326.068420000032,0.15163034209999893,0.0,0.0,0.03858941759999879,7717.883519999981,0.09449111449999892,18898.22290000006
earlier_diagnostic,BASE,2016,244,72,14.122979999989184,6.13173319758964e-05,0.003950463645915558,909.8947600000029,-0.01089474118445155,-2424.7853200000045,0.09674962226987238,20456.72297999998
earlier_diagnostic,BASE,2017,244,60,7266.210000000001,0.031545558575063914,4.161880821307307e-06,29.657999999999447,-8.302146473426752e-05,148.29000000000087,-0.19268223390912276,-35557.98999999997
earlier_diagnostic,BASE,2018,243,18,-2186.733320000014,-0.009203175112773132,0.0035223067082192916,824.9663599999985,0.008660786225910821,1960.6534999999976,0.22087050681381348,51606.666679999966
earlier_diagnostic,BASE,2019,244,20,15773.889199999987,0.06700327686571916,0.0006580915402560894,271.99503999999797,0.05229362168138518,12419.828539999988,-0.27988884899792854,-46672.25951999999
earlier_diagnostic,STRESS,2015,244,158,29165.441519999997,0.1458272076000009,0.0,0.0,0.03899118100000232,7798.236199999999,0.08944197400000076,17888.394800000042
earlier_diagnostic,STRESS,2016,244,72,-649.6305599999964,-0.0028347666894759094,0.004124380856603049,945.1655600000026,-0.009776106883832902,-2186.21564000001,0.09392254943815859,19792.969439999993
earlier_diagnostic,STRESS,2017,244,60,7075.188,0.030961481265900037,-6.491425064147904e-07,29.115999999998166,4.21496003366606e-06,174.6959999999999,-0.1934434976886228,-35749.011999999966
earlier_diagnostic,STRESS,2018,243,18,-2532.0783200000133,-0.01074777190630194,0.00394291151215076,914.6016000000036,0.009361117587569745,2089.030600000002,0.2194743951529039,51261.321679999965
earlier_diagnostic,STRESS,2019,244,26,21186.124760000017,0.09090458628153364,0.00022509222377320448,223.742720000002,0.07703138575894952,18062.113440000016,-0.2554121307937163,-41104.216999999975
