period,cost,monthly_attempts,target_origins_checked,piecewise_solution_matches_bisection,base_risk_shared,terminal_open_excluded
evaluation,BASE,80,1604,True,True,True
evaluation,STRESS,80,1604,True,True,True
earlier_diagnostic,BASE,60,1219,True,True,True
earlier_diagnostic,STRESS,60,1219,True,True,True
