date,origin_index,risk_cost,downside_budget,continuous_budget,joint_downside_second_moment,previous_budget_downside_second_moment,downside_gradient,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,downside_reference_return,continuous_reference_return,target_cost,downside_parent_target,continuous_parent_target,target
2020-01-02,1852,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-01-02,,2020-01-02,1,0.0,0.0,BASE,0.0,0.0,0.0
2020-02-03,1868,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-02-03,,2020-01-02,17,0.0,0.0,BASE,0.0,0.0,0.0
2020-03-02,1888,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-03-02,,2020-01-02,37,0.0,0.00027496890699829635,BASE,0.0,0.0,0.0
2020-04-01,1910,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-04-01,,2020-01-02,59,0.0,0.0,BASE,0.0,0.0,0.0
2020-05-06,1931,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-05-06,,2020-01-02,80,0.0,0.0,BASE,0.0,0.0,0.0
2020-06-01,1949,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-06-01,,2020-01-02,98,0.0,0.0,BASE,0.0,0.0,0.0
2020-07-01,1969,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-07-01,,2020-01-02,118,0.019349305765796965,0.0,BASE,1.0,0.0,0.5
2020-08-03,1992,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-08-03,,2020-01-02,141,0.0,0.0,BASE,0.0,0.0,0.0
2020-09-01,2013,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-09-01,,2020-01-02,162,0.005471724912047504,1.592261366090142e-05,BASE,0.6969076114519388,0.0024608497738199953,0.3496842306128794
2020-10-09,2035,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-10-09,,2020-01-02,184,0.0,0.0,BASE,0.0,0.0,0.0
2020-11-02,2051,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-11-02,,2020-01-02,200,0.0,0.0,BASE,0.0,0.0,0.0
2020-12-01,2072,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2020-12-01,,2020-01-02,221,0.0,0.0,BASE,0.0,0.0,0.0
2021-01-04,2095,BASE,0.04035817718846697,0.959641822811533,2.1421347116610668e-07,1.0335188981410086e-06,2.8001089165431417e-23,JOINT_DOWNSIDE_CONVEX_MINIMUM,True,2021-01-04,2021-01-04,2020-01-06,242,0.0,0.0,BASE,0.815899676399381,0.000884365421071065,0.03377689775284721
2021-02-01,2115,BASE,0.030471404027499628,0.9695285959725004,1.9425406816988143e-07,1.9470134126861547e-07,1.4000544582715708e-23,JOINT_DOWNSIDE_CONVEX_MINIMUM,True,2021-02-01,2021-02-01,2020-02-11,242,0.0,0.0,BASE,0.0,0.0,0.0
