period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
evaluation,BASE,1.2822686297888573,22,264,62683.7,3397.5781399999423,59286.1218599999
evaluation,STRESS,1.2265293512278383,22,264,62397.2,6192.674800000015,56204.525199999975
earlier_diagnostic,BASE,0.7767449527427255,16,328,54120.8,2927.242720000012,51193.55727999986
earlier_diagnostic,STRESS,0.8005969225243525,16,334,59879.30000000002,5634.254600000013,54245.045399999944
