period,cost,cycles,losing_cycles,total_net_profit,largest_three_positive_profit,largest_three_vs_total
evaluation,BASE,22,9,59286.12186000009,36368.44080000001,0.6134393625186256
evaluation,STRESS,22,9,56204.52519999999,35580.70835999995,0.6330577161427557
earlier_diagnostic,BASE,16,6,51193.55727999999,56564.85748000001,1.1049214097512705
earlier_diagnostic,STRESS,16,7,54245.045400000046,61811.38184000002,1.1394843784203001
