year,original_reports,original_companies,eps_parsed_reports
2017,21,14,14
2018,10,8,9
2019,7,5,7
2020,31,18,20
2021,39,15,22
2022,660,236,504
2023,827,276,705
2024,841,270,705
2025,673,257,594
2026,243,173,211
