origin,member_count,company_rows,vendor_weight_snapshot_available,version_proven_weight_input,eps_report_age_median_days,eps_reports_over_90_days_count,vendor_weight_sum_pct,eps_growth_weight_coverage_diagnostic,eps_growth_count,profit_revision_weight_coverage_diagnostic,profit_revision_count,reported_earnings_yield_weight_coverage_diagnostic,reported_earnings_yield_count,top_ten_eps_covered_count,top_ten_missing_eps_symbols,all_eps_features_valid
2017-12-29,300,153,True,False,66.5,2,99.99700000000001,0.0185405562166865,6.0,0.01225036751102533,4.0,0.0185405562166865,6.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,601166.SH,000651.SZ,600016.SH,600887.SH,601328.SH,000858.SZ",False
2018-01-31,300,153,True,False,99.5,6,99.994,0.017721063263795828,6.0,0.017721063263795828,6.0,0.017721063263795828,6.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600016.SH,600887.SH,601328.SH,000002.SZ",False
2018-02-28,300,153,True,False,120.0,4,99.99599999999998,0.011290451618064726,4.0,0.011290451618064726,4.0,0.011290451618064726,4.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600016.SH,600887.SH,601328.SH,000002.SZ",False
2018-03-30,300,153,True,False,150.0,4,99.995,0.011750587529376468,4.0,0.011750587529376468,4.0,0.011750587529376468,4.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600016.SH,600887.SH,601328.SH,000002.SZ",False
2018-04-27,300,153,True,False,177.0,3,99.995,0.009160458022901144,3.0,0.009160458022901144,3.0,0.009160458022901144,3.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600016.SH,601328.SH,600887.SH,600030.SH",False
2018-05-31,300,153,True,False,,0,99.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600887.SH,600016.SH,600276.SH,601328.SH",False
2018-06-29,300,165,True,False,111.5,1,100.001,0.0023499765002349977,2.0,0.0012499875001249986,1.0,0.0023499765002349977,2.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600887.SH,600276.SH,600016.SH,601328.SH",False
2018-07-31,300,165,True,False,84.0,0,99.99699999999999,0.0010100303009090274,1.0,0.0,0.0,0.0010100303009090274,1.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,000651.SZ,601166.SH,600016.SH,600887.SH,601328.SH,600276.SH",False
2018-08-31,300,165,True,False,1.5,0,99.99600000000001,0.004790191607664306,2.0,0.000970038801552062,1.0,0.004790191607664306,2.0,0.0,"601318.SH,600519.SH,600036.SH,000333.SZ,601166.SH,000651.SZ,600016.SH,601328.SH,600887.SH,600276.SH",False
2018-09-28,300,165,True,False,29.5,0,99.99799999999999,0.00499009980199604,2.0,0.0010300206004120083,1.0,0.00499009980199604,2.0,0.0,"601318.SH,600519.SH,600036.SH,601166.SH,000651.SZ,000333.SZ,600016.SH,601328.SH,600887.SH,601288.SH",False
