period,window,cost,year,return,fills
main,60,BASE,2020,0.2157030233999997,14
main,60,BASE,2021,0.10162556703566716,18
main,60,BASE,2022,-0.006969501779534593,21
main,60,BASE,2023,0.005049049838955266,16
main,60,BASE,2024,0.27529325673577043,17
main,60,BASE,2025,0.16183023949615882,17
main,60,BASE,2026,0.011611192795860648,17
main,60,STRESS,2020,0.2099714426000001,14
main,60,STRESS,2021,0.09586430647549271,18
main,60,STRESS,2022,-0.010490856153572703,21
main,60,STRESS,2023,0.002380835826517158,16
main,60,STRESS,2024,0.2655200754841205,17
main,60,STRESS,2025,0.15307700516144251,17
main,60,STRESS,2026,0.006825527949866794,17
main,50,BASE,2020,0.2302513894,17
main,50,BASE,2021,0.04833487945012682,22
main,50,BASE,2022,0.017734746561249626,18
main,50,BASE,2023,0.005058010582776218,16
main,50,BASE,2024,-0.03404802362521375,19
main,50,BASE,2025,0.1367962568297103,20
main,50,BASE,2026,0.011165469467856681,19
main,50,STRESS,2020,0.2237024792000002,17
main,50,STRESS,2021,0.04164846379433618,22
main,50,STRESS,2022,0.01726058151686205,18
main,50,STRESS,2023,0.0024093083435992035,16
main,50,STRESS,2024,-0.04132258692448665,19
main,50,STRESS,2025,0.13085570109806044,20
main,50,STRESS,2026,0.007683676195965328,19
main,70,BASE,2020,0.1470796071,17
main,70,BASE,2021,0.07699112062786506,13
main,70,BASE,2022,-0.061266766886821866,21
main,70,BASE,2023,0.004980457625438195,16
main,70,BASE,2024,0.039924354967249887,15
main,70,BASE,2025,0.16245886186615488,15
main,70,BASE,2026,-0.03166975248300452,23
main,70,STRESS,2020,0.1409379972,17
main,70,STRESS,2021,0.07273915830980249,13
main,70,STRESS,2022,-0.06559125679410782,21
main,70,STRESS,2023,0.0023157593529075093,16
main,70,STRESS,2024,0.033908404668840264,15
main,70,STRESS,2025,0.1566263831336221,15
main,70,STRESS,2026,-0.03628445280070225,23
early,60,BASE,2015,0.31642409559999995,16
early,60,BASE,2016,-0.0028187407936415276,8
early,60,BASE,2017,0.1317379745542122,11
early,60,BASE,2018,0.038433174129026915,16
early,60,BASE,2019,0.09871028076161714,14
early,60,STRESS,2015,0.3119274282000002,16
early,60,STRESS,2016,-0.0057830805553091835,8
early,60,STRESS,2017,0.1267953487770952,11
early,60,STRESS,2018,0.03476098723214882,16
early,60,STRESS,2019,0.12294914733413531,14
early,50,BASE,2015,0.18338184359999987,16
early,50,BASE,2016,-0.053673030597441884,14
early,50,BASE,2017,0.14506103328801712,14
early,50,BASE,2018,-0.0009034218691075235,20
early,50,BASE,2019,0.16433665433379097,19
early,50,STRESS,2015,0.17840719120000026,16
early,50,STRESS,2016,-0.05947436635093051,14
early,50,STRESS,2017,0.1389767162847646,14
early,50,STRESS,2018,0.006215452803252308,20
early,50,STRESS,2019,0.15703949832555808,19
early,70,BASE,2015,0.19515920330000003,14
early,70,BASE,2016,-0.061007887651012616,11
early,70,BASE,2017,0.030468780633975623,8
early,70,BASE,2018,0.0423475883478015,15
early,70,BASE,2019,0.08378728152505732,16
early,70,STRESS,2015,0.19230565840000002,14
early,70,STRESS,2016,-0.06481331599457574,11
early,70,STRESS,2017,0.027403606118992396,8
early,70,STRESS,2018,0.03992595678434685,15
early,70,STRESS,2019,0.07712971358853205,16
