period,window,cost,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error
main,60,BASE,1624,400689.26602000016,200689.26602000016,0.10909651067308168,1.2847775260589454,0.08322800128793671,-0.06404028297935171,120,3056.23398,9195.499999999796,0.17735216318827293,8.469669410260394e-11
main,60,STRESS,1624,386452.42188,186452.42187999998,0.1031334840776672,1.2204943134726585,0.08319068279665304,-0.06508596549013435,120,5821.1781200000005,15983.500000000018,0.17705436334496963,7.702283255639486e-11
main,50,BASE,1624,292961.1471400002,92961.14714000019,0.0585312278058856,0.8965755143669351,0.06585043453156912,-0.11656435253508957,131,2682.85286,7923.899999999954,0.19771814050601397,8.526512829121202e-11
main,50,STRESS,1624,283993.38920000027,83993.38920000027,0.05363868449606635,0.8244892613231054,0.06599968818078328,-0.12082327603641274,131,5104.3108,14053.699999999999,0.19839901985767064,7.810285751475021e-11
main,70,BASE,1624,272859.0277000001,72859.0277000001,0.04737772928027595,0.7617262685813863,0.06341148945331632,-0.08914236510456863,120,2468.8723,7313.100000000045,0.18086848627877086,6.721734280290548e-11
main,70,STRESS,1624,264211.46027999977,64211.46027999977,0.0423633038061737,0.6860745037446465,0.06340798701427591,-0.09575117547056589,120,4669.43972,12593.200000000013,0.18097678361320735,7.912603905424476e-11
early,60,BASE,1219,339006.1345199999,139006.1345199999,0.11044513073175843,1.2454219666628987,0.08718102239635188,-0.058576410519798894,65,1660.4654800000003,4718.500000000071,0.2792562390934311,7.912603905424476e-11
early,60,STRESS,1219,341559.31900000037,141559.31900000037,0.1121004302398052,1.2578079997603353,0.08753111731249989,-0.059754186269904364,65,3200.481,8915.599999999991,0.28145718441762935,7.457856554538012e-11
early,50,BASE,1219,298339.5233599998,98339.52335999982,0.08262910570826243,0.8843913241693595,0.09485558496235198,-0.10028992937466652,83,1671.1766400000001,4769.299999999965,0.33054254327736676,6.897948878759053e-11
early,50,STRESS,1219,293934.1388400001,93934.13884000009,0.07943646816283567,0.857610271229067,0.09431249619865484,-0.10213674474141665,83,3203.3611600000004,8985.099999999986,0.330338627901326,7.970157867021044e-11
early,70,BASE,1219,261281.79729999998,61281.79729999998,0.05449476247482288,0.6941211220785154,0.08121235846914218,-0.12063467648165482,64,1252.0027,3477.7000000000426,0.2212387561943018,4.501998773775995e-11
early,70,STRESS,1219,256641.81952000002,56641.81952000002,0.05075041892111476,0.6494418158164205,0.08133687211667902,-0.12244366876563528,64,2382.48048,6543.299999999992,0.22142880323145095,5.269384928396903e-11
