date,window,equity,shares,filled_quantity,net_return
2024-09-24,50,261259.0262000002,0,0,0.0
2024-09-25,50,261259.0262000002,0,0,0.0
2024-09-26,50,261259.0262000002,0,0,0.0
2024-09-27,50,261259.0262000002,0,0,0.0
2024-09-30,50,261259.0262000002,0,0,0.0
2024-10-08,50,261259.0262000002,0,0,0.0
2024-10-09,50,248231.7434000002,48300,48300,-0.049863474535143
2024-09-24,60,261189.44932000025,0,0,0.0
2024-09-25,60,259796.32056000023,68300,68300,-0.0053337865048798
2024-09-26,60,271134.1205600002,68300,0,0.0436411107576926
2024-09-27,60,286774.82056000025,68300,0,0.0576862106757194
2024-09-30,60,311636.0205600002,68300,0,0.0866924088783394
2024-10-08,60,340058.3552400002,0,-68300,0.0912036247572598
2024-10-09,60,332560.2504400002,27800,27800,-0.0220494649946421
2024-09-24,70,238229.09491999983,1700,0,0.0010286393061453
2024-09-25,70,237219.7844399999,55100,53400,-0.0042367221364749
2024-09-26,70,246366.38443999988,55100,0,0.0385574922496121
2024-09-27,70,249370.5245999999,0,-55100,0.0121937908324163
2024-09-30,70,249370.5245999999,0,0,0.0
2024-10-08,70,249370.5245999999,0,0,0.0
2024-10-09,70,235938.66779999988,49800,49800,-0.0538630490574025
