period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,drawdown_cap_binding_origins,risk_capped_origins,full_target_origins
evaluation,DRAWDOWN_DEPTH_RISK,BASE,1604,862,742,0,54,793,69
evaluation,DRAWDOWN_DEPTH_RISK,STRESS,1604,862,742,0,54,793,69
earlier_diagnostic,DRAWDOWN_DEPTH_RISK,BASE,1219,731,488,0,58,619,112
earlier_diagnostic,DRAWDOWN_DEPTH_RISK,STRESS,1219,731,488,0,58,619,112
