fit_index,fit_origin,cycles,rows,base_weight_sum,economic_weight_sum,maximum_cycle_weight_share
1157,2017-03-01,10,438,10.0,10.0,0.31384848144297245
1180,2017-04-05,10,438,10.0,10.0,0.31384848144297245
1198,2017-05-02,10,438,10.0,10.0,0.31384848144297245
1218,2017-06-01,11,497,11.0,11.0,0.29611657025122273
1240,2017-07-03,11,497,11.0,11.0,0.29611657025122273
1261,2017-08-01,11,497,11.0,11.0,0.29611657025122273
1284,2017-09-01,12,556,12.0,12.0,0.2823871709042846
1305,2017-10-09,12,556,12.0,12.0,0.2823871709042846
1322,2017-11-01,12,556,12.0,12.0,0.2823871709042846
1344,2017-12-01,13,615,13.0,13.0,0.2638792918220347
1365,2018-01-02,13,615,13.0,13.0,0.2638792918220347
1387,2018-02-01,13,615,13.0,13.0,0.2638792918220347
1402,2018-03-01,14,671,14.0,14.0,0.24469125455909616
1424,2018-04-02,14,671,14.0,14.0,0.24469125455909616
1442,2018-05-02,14,671,14.0,14.0,0.24469125455909616
1464,2018-06-01,14,671,14.0,14.0,0.24469125455909616
1484,2018-07-02,14,671,14.0,14.0,0.24469125455909616
1506,2018-08-01,14,671,14.0,14.0,0.24469125455909616
1529,2018-09-03,14,671,14.0,14.0,0.24469125455909616
1548,2018-10-08,14,671,14.0,14.0,0.24469125455909616
1566,2018-11-01,15,678,15.0,14.999999999999998,0.23193761592573045
1588,2018-12-03,15,678,15.0,14.999999999999998,0.23193761592573045
1608,2019-01-02,15,678,15.0,14.999999999999998,0.23193761592573045
1630,2019-02-01,15,678,15.0,14.999999999999998,0.23193761592573045
1645,2019-03-01,15,678,15.0,14.999999999999998,0.23193761592573045
1666,2019-04-01,15,678,15.0,14.999999999999998,0.23193761592573045
1687,2019-05-06,15,678,15.0,14.999999999999998,0.23193761592573045
1707,2019-06-03,16,721,16.0,16.0,0.21871698202793394
1726,2019-07-01,16,721,16.0,16.0,0.21871698202793394
1749,2019-08-01,17,759,17.0,17.0,0.2057205921655037
1771,2019-09-02,17,759,17.0,17.0,0.2057205921655037
1791,2019-10-08,17,759,17.0,17.0,0.2057205921655037
1809,2019-11-01,17,759,17.0,17.0,0.2057205921655037
1830,2019-12-02,17,759,17.0,17.0,0.2057205921655037
1852,2020-01-02,17,759,17.0,17.0,0.2057205921655037
1868,2020-02-03,17,759,17.0,17.0,0.2057205921655037
1888,2020-03-02,17,759,17.0,17.0,0.2057205921655037
1910,2020-04-01,18,787,18.0,18.0,0.19251897111193814
1931,2020-05-06,18,787,18.0,18.0,0.19251897111193814
1949,2020-06-01,19,829,19.0,19.0,0.18795396517283117
1969,2020-07-01,19,829,19.0,19.0,0.18795396517283117
1992,2020-08-03,19,829,19.0,19.0,0.18795396517283117
2013,2020-09-01,19,829,19.0,19.0,0.18795396517283117
2035,2020-10-09,20,888,20.0,20.0,0.18412630002520264
2051,2020-11-02,20,888,20.0,20.0,0.18412630002520264
2072,2020-12-01,20,888,20.0,20.0,0.18412630002520264
2095,2021-01-04,20,888,20.0,20.0,0.18412630002520264
2115,2021-02-01,20,888,20.0,20.0,0.18412630002520264
2130,2021-03-01,20,862,20.0,20.0,0.18339835239178912
2153,2021-04-01,20,862,20.0,20.0,0.18339835239178912
2174,2021-05-06,20,862,20.0,20.0,0.18339835239178912
2192,2021-06-01,20,862,20.0,20.0,0.18339835239178912
2213,2021-07-01,20,862,20.0,20.0,0.18339835239178912
2235,2021-08-02,20,844,20.0,20.0,0.19505340850483793
2257,2021-09-01,20,844,20.0,20.0,0.19505340850483793
2277,2021-10-08,20,844,20.0,20.0,0.19505340850483793
2293,2021-11-01,20,844,20.0,20.0,0.19505340850483793
2315,2021-12-01,20,844,20.0,20.0,0.19505340850483793
2338,2022-01-04,20,844,20.0,20.0,0.19505340850483793
2357,2022-02-07,20,892,19.999999999999996,20.0,0.19516676681050824
2373,2022-03-01,20,892,19.999999999999996,20.0,0.19516676681050824
