period,cost,origin,cycle,economic_score
evaluation,BASE,2020-02-05,1.0,0.5047041327276298
evaluation,BASE,2020-02-06,1.0,0.5076214194732889
evaluation,BASE,2020-02-07,1.0,0.5883997576808626
evaluation,BASE,2020-02-10,1.0,0.772511953728569
evaluation,BASE,2020-02-11,1.0,0.7139857909052563
evaluation,BASE,2020-02-12,1.0,0.7057293851879333
evaluation,BASE,2020-02-13,1.0,0.6252290593541153
evaluation,BASE,2020-02-14,1.0,0.6551716402171709
evaluation,BASE,2020-02-17,1.0,0.6620192153828649
evaluation,BASE,2020-02-18,1.0,0.636298108851027
evaluation,BASE,2020-02-19,1.0,0.610997288974691
evaluation,BASE,2020-02-20,1.0,0.6370947500848743
evaluation,BASE,2020-02-21,1.0,0.6205263146200135
evaluation,BASE,2020-02-24,1.0,0.5467913985330257
evaluation,BASE,2020-02-25,1.0,0.566150968823048
evaluation,BASE,2020-02-26,1.0,0.5211685674660624
evaluation,BASE,2020-02-27,1.0,0.468324233696956
evaluation,BASE,2020-02-28,1.0,0.334441638043193
evaluation,BASE,2020-07-01,2.0,0.7761788551418212
evaluation,BASE,2020-07-02,2.0,0.7600149399377734
evaluation,BASE,2020-07-03,2.0,0.7436641920474204
evaluation,BASE,2020-07-06,2.0,0.7014081983692185
evaluation,BASE,2020-07-07,2.0,0.6497071645485009
evaluation,BASE,2020-07-08,2.0,0.6204317963478112
evaluation,BASE,2020-07-09,2.0,0.5917415212443334
evaluation,BASE,2020-07-10,2.0,0.48968455055661075
evaluation,BASE,2020-07-13,2.0,0.3580977981635231
evaluation,BASE,2020-08-19,3.0,0.7122309958891582
evaluation,BASE,2020-08-20,3.0,0.6707314782228264
evaluation,BASE,2020-08-21,3.0,0.6399509949934908
evaluation,BASE,2020-08-24,3.0,0.6006857755160534
evaluation,BASE,2020-08-25,3.0,0.605958869102487
evaluation,BASE,2020-08-26,3.0,0.6683645758633167
evaluation,BASE,2020-08-27,3.0,0.6843326880977071
evaluation,BASE,2020-08-28,3.0,0.6832057858183339
evaluation,BASE,2020-08-31,3.0,0.6744391486245653
evaluation,BASE,2020-09-01,3.0,0.6749727764669341
evaluation,BASE,2020-09-02,3.0,0.6925310917076613
evaluation,BASE,2020-09-03,3.0,0.6622377299844935
evaluation,BASE,2020-09-04,3.0,0.5740695162033347
evaluation,BASE,2020-09-07,3.0,0.5418554562942367
evaluation,BASE,2020-09-08,3.0,0.5199453723572084
evaluation,BASE,2020-09-09,3.0,0.44841050482734285
evaluation,BASE,2020-09-10,3.0,0.45068501836229574
evaluation,BASE,2021-01-05,4.0,0.8070973197547716
evaluation,BASE,2021-01-06,4.0,0.7979264618587285
evaluation,BASE,2021-01-07,4.0,0.7743240114359663
evaluation,BASE,2021-01-08,4.0,0.7176438028674371
evaluation,BASE,2021-01-11,4.0,0.6635878657005886
evaluation,BASE,2021-01-12,4.0,0.6390492896832202
evaluation,BASE,2021-01-13,4.0,0.6052801183235862
evaluation,BASE,2021-01-14,4.0,0.5044221570494412
evaluation,BASE,2021-01-15,4.0,0.5215690222613313
evaluation,BASE,2021-01-18,4.0,0.5498440521643482
evaluation,BASE,2021-01-19,4.0,0.45973537131204445
evaluation,BASE,2021-01-20,4.0,0.4663160357991215
evaluation,BASE,2021-02-03,5.0,0.6744708249545421
evaluation,BASE,2021-02-04,5.0,0.7276461119135919
evaluation,BASE,2021-02-05,5.0,0.7197372820939314
evaluation,BASE,2021-02-08,5.0,0.6867470025371561
evaluation,BASE,2021-02-09,5.0,0.7123782300464995
evaluation,BASE,2021-02-10,5.0,0.713286752248998
evaluation,BASE,2021-02-18,5.0,0.691224899361832
evaluation,BASE,2021-02-19,5.0,0.6851262062808662
evaluation,BASE,2021-02-22,5.0,0.5709402643223601
evaluation,BASE,2021-02-23,5.0,0.4962364113716285
evaluation,BASE,2021-02-24,5.0,0.39400740222907454
evaluation,BASE,2021-06-08,6.0,0.6362981841524489
evaluation,BASE,2021-06-09,6.0,0.6340046644612154
evaluation,BASE,2021-06-10,6.0,0.6298474081407361
evaluation,BASE,2021-06-11,6.0,0.640493988264331
evaluation,BASE,2021-06-15,6.0,0.6303080256109675
evaluation,BASE,2021-06-16,6.0,0.6098681042131837
evaluation,BASE,2021-06-17,6.0,0.5962337973499894
evaluation,BASE,2021-06-18,6.0,0.5798000701198058
evaluation,BASE,2021-06-21,6.0,0.5800635645822784
evaluation,BASE,2021-06-22,6.0,0.609826831587849
evaluation,BASE,2021-06-23,6.0,0.7282672749245471
evaluation,BASE,2021-06-24,6.0,0.7219659397455076
evaluation,BASE,2021-06-25,6.0,0.7218561761585973
evaluation,BASE,2021-06-28,6.0,0.7186844559636626
evaluation,BASE,2021-06-29,6.0,0.6908947745975078
evaluation,BASE,2021-06-30,6.0,0.6825125436455267
evaluation,BASE,2021-07-01,6.0,0.667021449129499
evaluation,BASE,2021-07-02,6.0,0.5544756620891776
