period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,228,228,0,26,27,0,356
evaluation,STRESS,228,228,0,26,27,0,356
earlier_diagnostic,BASE,303,99,204,1,9,0,385
earlier_diagnostic,STRESS,303,99,204,1,9,0,385
