period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,21,8,43576.644200000024,33482.76420000002,0.7683649077319268
evaluation,STRESS,21,8,40908.573279999975,32590.09263999998,0.7966567892000559
earlier_diagnostic,BASE,16,6,32296.739360000083,53725.043160000016,1.6634819559072627
earlier_diagnostic,STRESS,16,6,29225.992520000007,52988.09164000002,1.8130467803185495
