date,observations,status,panic_budget
2013-06-03,1,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-07-01,18,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-08-01,41,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-09-02,63,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-10-08,82,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-11-01,100,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2013-12-02,121,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-01-02,143,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-02-07,164,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-03-03,180,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-04-01,201,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-05-05,222,NO_VIEW_WARMUP_KEEP_BUDGET,0.5
2014-06-03,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-07-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-08-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-09-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-10-08,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-11-03,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2014-12-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-01-05,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-02-02,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-03-02,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-04-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-05-04,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-06-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.5
2015-07-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.8909150641960756
2015-08-03,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.8341307398516259
2015-09-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.8143235163188843
2015-10-08,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7772784749120663
2015-11-02,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.787887573429179
2015-12-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7988015649810155
2016-01-04,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7658917482426956
2016-02-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6806990897385812
2016-03-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6490466426957654
2016-04-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6008338705034786
2016-05-03,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.5543725191066194
2016-06-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.559834203432185
2016-07-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.60058101446714
2016-08-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6866775192232758
2016-09-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7412138829356499
2016-10-10,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7630793894754496
2016-11-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6958537005249869
2016-12-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.5743729446709535
2017-01-03,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.4674835594492062
2017-02-03,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.6359063890961875
2017-03-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-04-05,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-05-02,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-06-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-07-03,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-08-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-09-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-10-09,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-11-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2017-12-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2018-01-02,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2018-02-01,242,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0.6359063890961875
2018-03-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7669134071865596
2018-04-02,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7523612786811028
2018-05-02,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7523612786811027
2018-06-01,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.7045538892891814
2018-07-02,242,MIN_VARIANCE_BUDGET_AVAILABLE,0.5920930179825175
