period,initial_panic_budget,initial_risk_origin,initial_risk_status,panic_state_different_days,learned_state_different_days,target_different_days,budget_different_days,new_monthly_status_counts
evaluation,0.9082518357303324,2019-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0,7,241,1559,"{'NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET': 43, 'MIN_VARIANCE_BUDGET_AVAILABLE': 37}"
earlier_diagnostic,0.5,,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,0,1,25,185,"{'MIN_VARIANCE_BUDGET_AVAILABLE': 38, 'NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET': 22}"
