period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,201,22,23,0,0,0.04412762307181535
evaluation,STRESS,201,22,23,0,0,0.044132093646812455
earlier_diagnostic,BASE,340,17,18,0,0,0.11464847556328692
earlier_diagnostic,STRESS,340,17,18,0,0,0.11469418078412705
