拟合收盘,树轮数,全部节点数,初始平均继续价值,rows,maximum_library_prediction_difference,cycle_weighted_training_mse,baseline_mse
2017-03-01,80,776,0.020746295195372376,438,0.0,0.0060665365609673455,0.009356996757537876
2017-04-05,80,776,0.020746295195372376,438,0.0,0.0060665365609673455,0.009356996757537876
2017-05-02,80,776,0.020746295195372376,438,0.0,0.0060665365609673455,0.009356996757537876
2017-06-01,80,770,0.015678196546856506,497,0.0,0.005649644193709829,0.008772573805660959
2017-07-03,80,770,0.015678196546856506,497,0.0,0.005649644193709829,0.008772573805660959
2017-08-01,80,770,0.015678196546856506,497,0.0,0.005649644193709829,0.008772573805660959
2017-09-01,80,886,0.015816763392372053,556,0.0,0.0053138429327876215,0.008143641700917617
2017-10-09,80,886,0.015816763392372053,556,0.0,0.0053138429327876215,0.008143641700917617
2017-11-01,80,886,0.015816763392372053,556,0.0,0.0053138429327876215,0.008143641700917617
2017-12-01,80,1014,0.018009625821604036,615,0.0,0.00502839743661842,0.00762692562952424
2018-01-02,80,1014,0.018009625821604036,615,0.0,0.00502839743661842,0.00762692562952424
2018-02-01,80,1014,0.018009625821604036,615,0.0,0.00502839743661842,0.00762692562952424
2018-03-01,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-04-02,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-05-02,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-06-01,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-07-02,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-08-01,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-09-03,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-10-08,80,968,0.01282911038029695,671,0.0,0.005102170159968669,0.007483709609043479
2018-11-01,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2018-12-03,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-01-02,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-02-01,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-03-01,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-04-01,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-05-06,80,1024,0.00922541655696904,678,0.0,0.004972567008934111,0.00718722488209539
2019-06-03,80,1030,0.005682071057997926,721,0.0,0.0051634064250897236,0.0069975606985341636
2019-07-01,80,1030,0.005682071057997926,721,0.0,0.0051634064250897236,0.0069975606985341636
2019-08-01,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2019-09-02,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2019-10-08,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2019-11-01,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2019-12-02,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2020-01-02,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2020-02-03,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2020-03-02,80,1040,0.008349494540969619,759,0.0,0.004958841299064142,0.006753985908861731
2020-04-01,80,1032,0.004488338295533729,787,0.0,0.004909715297926737,0.006660237645325165
2020-05-06,80,1032,0.004488338295533729,787,0.0,0.004909715297926737,0.006660237645325165
2020-06-01,80,1040,0.004686170740688507,829,0.0,0.004658669979585572,0.006350890230155038
2020-07-01,80,1040,0.004686170740688507,829,0.0,0.004658669979585572,0.006350890230155038
