period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,177,177,0,24,26,0,407
evaluation,STRESS,177,177,0,24,26,0,407
earlier_diagnostic,BASE,290,86,204,1,9,0,398
earlier_diagnostic,STRESS,290,86,204,1,9,0,398
