period,cost,terminal_nav_difference_vs_original_ridge,share_quantity_changed_days,trade_count_difference
evaluation,BASE,-78775.67676000023,296,4
evaluation,STRESS,-76694.25176000019,296,4
earlier_diagnostic,BASE,-29348.74192,126,0
earlier_diagnostic,STRESS,-28990.141999999934,126,0
