fit_origin,cycles,rows,split_nodes,leaves,maximum_library_prediction_difference,cycle_weighted_training_mse,baseline_mse
2017-03-01,10,438,348,428,0.0,0.0060665365609673455,0.009356996757537876
2017-04-05,10,438,348,428,0.0,0.0060665365609673455,0.009356996757537876
2017-05-02,10,438,348,428,0.0,0.0060665365609673455,0.009356996757537876
2017-06-01,11,497,345,425,0.0,0.005649644193709829,0.008772573805660959
2017-07-03,11,497,345,425,0.0,0.005649644193709829,0.008772573805660959
2017-08-01,11,497,345,425,0.0,0.005649644193709829,0.008772573805660959
2017-09-01,12,556,403,483,0.0,0.0053138429327876215,0.008143641700917617
2017-10-09,12,556,403,483,0.0,0.0053138429327876215,0.008143641700917617
2017-11-01,12,556,403,483,0.0,0.0053138429327876215,0.008143641700917617
2017-12-01,13,615,467,547,0.0,0.00502839743661842,0.00762692562952424
2018-01-02,13,615,467,547,0.0,0.00502839743661842,0.00762692562952424
2018-02-01,13,615,467,547,0.0,0.00502839743661842,0.00762692562952424
2018-03-01,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-04-02,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-05-02,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-06-01,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-07-02,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-08-01,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-09-03,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-10-08,14,671,444,524,0.0,0.005102170159968669,0.007483709609043479
2018-11-01,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2018-12-03,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-01-02,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-02-01,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-03-01,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-04-01,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-05-06,15,678,472,552,0.0,0.004972567008934111,0.00718722488209539
2019-06-03,16,721,475,555,0.0,0.0051634064250897236,0.0069975606985341636
2019-07-01,16,721,475,555,0.0,0.0051634064250897236,0.0069975606985341636
2019-08-01,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2019-09-02,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2019-10-08,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2019-11-01,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2019-12-02,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2020-01-02,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2020-02-03,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2020-03-02,17,759,480,560,0.0,0.004958841299064142,0.006753985908861731
2020-04-01,18,787,476,556,0.0,0.004909715297926737,0.006660237645325165
2020-05-06,18,787,476,556,0.0,0.004909715297926737,0.006660237645325165
2020-06-01,19,829,480,560,0.0,0.004658669979585572,0.006350890230155038
2020-07-01,19,829,480,560,0.0,0.004658669979585572,0.006350890230155038
2020-08-03,19,829,480,560,0.0,0.004658669979585572,0.006350890230155038
2020-09-01,19,829,480,560,0.0,0.004658669979585572,0.006350890230155038
2020-10-09,20,888,480,560,0.0,0.004505173727061237,0.006073994825088773
2020-11-02,20,888,480,560,0.0,0.004505173727061237,0.006073994825088773
2020-12-01,20,888,480,560,0.0,0.004505173727061237,0.006073994825088773
2021-01-04,20,888,480,560,0.0,0.004505173727061237,0.006073994825088773
2021-02-01,20,888,480,560,0.0,0.004505173727061237,0.006073994825088773
2021-03-01,20,862,480,560,0.0,0.004855845807430745,0.006102310293535736
2021-04-01,20,862,480,560,0.0,0.004855845807430745,0.006102310293535736
2021-05-06,20,862,480,560,0.0,0.004855845807430745,0.006102310293535736
2021-06-01,20,862,480,560,0.0,0.004855845807430745,0.006102310293535736
2021-07-01,20,862,480,560,0.0,0.004855845807430745,0.006102310293535736
2021-08-02,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
2021-09-01,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
2021-10-08,20,844,480,560,0.0,0.003999469488774417,0.004838098632019743
