selection_origin,window,selected,selected_count,information_cutoff
2019-12-31,504,R11_REGIME,1,2019-12-31
2020-01-02,504,R11_REGIME,1,2020-01-02
2020-04-01,504,M_HGB_H20_ROLL756,1,2020-04-01
2020-07-01,504,M_HGB_H5_ROLL756,1,2020-07-01
2020-10-09,504,M_HGB_H5_ROLL756,1,2020-10-09
2021-01-04,504,M_HGB_H20_ROLL756,1,2021-01-04
2021-04-01,504,M_HGB_H20_ROLL756,1,2021-04-01
2021-07-01,504,M_HGB_H5_ROLL756,1,2021-07-01
2021-10-08,504,M_HGB_H5_ROLL756,1,2021-10-08
2022-01-04,504,M_HGB_H5_ROLL756,1,2022-01-04
2022-04-01,504,M_RIDGE_H20_EXPANDING,1,2022-04-01
2022-07-01,504,R08_BREAKOUT,1,2022-07-01
2022-10-10,504,R03_SMA200,1,2022-10-10
2023-01-03,504,R08_BREAKOUT,1,2023-01-03
2023-04-03,504,,0,2023-04-03
2023-07-03,504,,0,2023-07-03
2023-10-09,504,,0,2023-10-09
2024-01-02,504,,0,2024-01-02
2024-04-01,504,R01_SMA60,1,2024-04-01
2024-07-01,504,R01_SMA60,1,2024-07-01
2024-10-08,504,R01_SMA60,1,2024-10-08
2025-01-02,504,M_RIDGE_H5_EXPANDING,1,2025-01-02
2025-04-01,504,M_RIDGE_H5_EXPANDING,1,2025-04-01
2025-07-01,504,M_ET_H5_ROLL756,1,2025-07-01
2025-10-09,504,R12_RISK_TREND,1,2025-10-09
2026-01-05,504,M_ET_H5_ROLL756,1,2026-01-05
2026-04-01,504,M_RIDGE_H5_EXPANDING,1,2026-04-01
2026-07-01,504,M_ET_H5_ROLL756,1,2026-07-01
