period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_factor_origins,mean_exposure,completed_cycles,raw_entry_origins
evaluation,BASE,93,11,11,0,0,0.05775224500546552,11,15
evaluation,STRESS,93,11,11,0,0,0.05775029804235032,11,15
earlier_diagnostic,BASE,44,6,6,0,0,0.03598339391831274,6,9
earlier_diagnostic,STRESS,43,6,6,0,0,0.0351572932996367,6,9
