date,independent_positive_amount_cny,independent_negative_amount_cny,independent_up_amount_share
2012-06-15,4505040224.0,4766675968.0,48.58906518177428
2012-06-18,2972405952.0,4766675968.0,38.407733407220476
2012-06-19,2270680192.0,5037609088.0,31.06992765343848
2012-06-20,2270680192.0,4876936544.0,31.768354066375615
2012-06-21,1797203008.0,5330592128.0,25.214010415688804
2012-06-25,1797203008.0,4496622336.0,28.555018764753317
2012-06-26,1797203008.0,4628923712.0,27.967126798271416
2012-06-27,2172660768.0,4278084288.0,33.68077251757382
2012-06-28,2172660768.0,3836726176.0,36.15444950119691
2012-06-29,2658950688.0,3302096160.0,44.605431827668134
2012-07-02,2545683040.0,3302096160.0,43.53247537116312
2012-07-03,2912734176.0,2900217344.0,50.10766330973976
2012-07-04,2428861376.0,3175254272.0,43.340671901851515
2012-07-05,2034817344.0,3688846560.0,35.550957885174945
2012-07-06,2471372160.0,3277304384.0,42.99028030337551
2012-07-09,2128413088.0,3685403168.0,36.60956924470094
2012-07-10,2128413088.0,3913628672.0,35.2267192539232
2012-07-11,2542505952.0,3606108128.0,41.35087873330961
2012-07-12,3197549216.0,3152452544.0,50.35509180709266
2012-07-13,3639028320.0,2573008832.0,58.58027295970686
2012-07-16,3639028320.0,2670929600.0,57.67119790871759
2012-07-17,3263570560.0,3301063872.0,49.71442955134535
2012-07-18,3263570560.0,3649113184.0,47.21133905240031
2012-07-19,3607549440.0,3649113184.0,49.71361667095742
2012-07-20,3144489984.0,4308823520.0,42.18915496191639
2012-07-23,2777438848.0,4754668736.0,36.8746571530649
2012-07-24,3331823936.0,4479631808.0,42.65304759051068
2012-07-25,3331823936.0,4299667104.0,43.65888551184095
2012-07-26,2895269120.0,4909819360.0,37.09463547298569
2012-07-27,2895269120.0,5390302336.0,34.94350553097203
2012-07-30,2895269120.0,5440311328.0,34.73386332315558
2012-07-31,2481176256.0,6441402080.0,27.807839422257327
2012-08-01,2450797248.0,6441402080.0,27.561204574922908
2012-08-02,2009318144.0,6937296192.0,22.458977983601773
2012-08-03,2422029088.0,6380923456.0,27.513826479171804
2012-08-06,3177461728.0,5750789184.0,35.588848916973625
2012-08-07,3802155424.0,4984069632.0,43.27405000175311
2012-08-08,3536642656.0,4984069632.0,41.506420313953925
2012-08-09,4025394688.0,4324359296.0,48.209740020047995
2012-08-10,4298450784.0,3878514080.0,52.56780303562767
