period,cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2021,0.03168844570000014,0.03155600439267064,0.03122329173333114,0.017602110954064627,1.7738379115330567,-0.0007639262287577602,243,0.024552586173700857,2,80.81085999999999,233.40000000000884,False,2.1657342585967854e-11
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2022,-0.07451401042670394,-0.07451401042670394,-0.076070481476466,0.05199669787983715,-1.462986777588505,-0.09621257177380806,242,0.1027904478819707,6,237.44871999999998,777.200000000022,False,2.816591404553037e-11
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2023,0.0003067858711589208,0.0003067858711589208,0.001165561200227816,0.04156369667522532,0.028042770337186267,-0.03849802120051805,242,0.12354117610702123,6,230.61536,635.999999999952,False,3.065281362069072e-11
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2024,-0.01650921670620331,-0.01650921670620331,-0.016522765371674075,0.01575503932319083,-1.0487289198544354,-0.023491685884285424,242,0.04123180861029143,2,75.6108,216.00000000000017,False,1.2505552149377763e-11
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2025,0.020024911663558406,0.019941688371052892,0.020547647827844157,0.040094177062228654,0.5124845883718459,-0.037781111451522784,243,0.057391070531647166,4,153.06762000000003,448.3999999999729,False,2.2296831048151944e-11
evaluation,BASE,DIRECTIONAL_TURNOVER_RECOVERY,2026,0.04473683915988906,0.07366867287765311,0.07252206664239023,0.0541204730160882,1.3400116924482877,-0.017376134738981232,149,0.053502964566043955,2,78.09532000000002,253.2000000000096,False,2.000888343900442e-11
evaluation,BASE,REARM_NONE,2020,0.11214023259999929,0.11165389754212608,0.1201877913478097,0.16991952775197208,0.7073218301503595,-0.11282701299757676,243,0.36604294187994874,4,163.75348000000002,495.00000000001097,False,2.7284841053187847e-11
evaluation,BASE,REARM_NONE,2021,-0.06126747904866779,-0.06102320415308489,-0.054985827444087636,0.12617879109203592,-0.4357770982603605,-0.16904963547943266,243,0.4706353038329117,5,216.80568000000002,631.8000000000239,False,2.7284841053187847e-11
evaluation,BASE,REARM_NONE,2022,-0.02843483412254672,-0.02843483412254672,-0.02486979220867791,0.0893713974366792,-0.27827462613302517,-0.11206205692438281,242,0.3628872109189199,5,202.9059,669.4000000000328,False,2.773958840407431e-11
evaluation,BASE,REARM_NONE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,REARM_NONE,2024,0.18863110100416952,0.18863110100416952,0.1885127767110818,0.1781254845048328,1.0583144642953501,-0.08839370275828329,242,0.4995856794180396,6,259.88464,785.2999999999938,False,2.5920599000528455e-11
evaluation,BASE,REARM_NONE,2025,0.09768226802022144,0.09726134049280417,0.09370814159384479,0.04194555703372641,2.2340421303381084,-0.025453318128693805,243,0.2824519048241789,3,151.31864000000002,482.2999999999996,False,2.7284841053187847e-11
evaluation,BASE,REARM_NONE,2026,-0.05538173761658867,-0.08838322821998315,-0.08062421535885561,0.15439327821913557,-0.5222002945259246,-0.12525382746917785,149,0.6013409371482554,5,255.63944,810.6000000000307,False,7.02584657119587e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020,0.06751541259999942,0.06722843492744016,0.06572762063042135,0.036462015044911394,1.802632700070542,-0.005403214023214214,243,0.04063410934187569,5,93.81748,259.7000000000162,False,2.326672188246448e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2021,0.04090023430543227,0.04072853870072201,0.04043948680089539,0.032347979365247095,1.250139501583254,-0.009119499551878272,243,0.0481316188814085,6,106.97390000000001,316.800000000012,False,3.205968823749572e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022,0.0007454493459376382,0.0007454493459376382,0.0008263663285407175,0.012774714860266021,0.06468765350771274,-0.00982083030256035,242,0.022725571932358888,6,64.53476,221.89999999999947,False,3.6266101233195513e-11
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2023,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
evaluation,BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024,0.04052052799741792,0.04052052799741792,0.040226831639976424,0.031915190748215486,1.2604289899857697,-0.017555139630963546,242,0.05519467463907676,10,144.49106,434.0999999999797,False,2.9899638320785016e-11
