period,cost,model,entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage
early,BASE,CONFIRMED_STUMP,2015-01-05,0,200000.0,2017-03-20,537,538,29652.38644000003,0.14826193220000006,229652.38644000003,-0.1256743960322434,219.11356,649.8999999999885
early,BASE,CONFIRMED_STUMP,2017-04-05,547,229652.38644000003,2017-05-22,579,33,-4634.444420000014,-0.020180258049314115,225017.94202000002,-0.04889747011119949,100.84442000000001,291.5999999999709
early,BASE,CONFIRMED_STUMP,2017-07-10,612,225017.94202000002,2018-02-26,766,155,18051.183500000014,0.08022108520748805,243069.12552000003,-0.11117796110319333,139.11650000000003,429.69999999999686
early,BASE,CONFIRMED_STUMP,2018-03-05,771,243069.12552000003,2018-09-25,911,141,-21100.850980000017,-0.08681008307763793,221968.27454,-0.12254447038195715,66.55098000000001,217.19999999999558
early,BASE,CONFIRMED_STUMP,2018-10-15,920,221968.27454,2018-11-05,935,16,2105.052399999986,0.009483573291554581,224073.32694,-0.02176295881913104,28.9476,88.00000000000009
early,BASE,CONFIRMED_STUMP,2018-11-12,940,224073.32694,2018-11-19,945,6,1744.6964000000153,0.007786274358603906,225818.02334,-0.003652067003907744,26.9036,82.39999999999092
early,BASE,CONFIRMED_STUMP,2018-11-26,950,225818.02334,2018-12-03,955,6,3526.2703999999794,0.015615540105453407,229344.29374,-0.003864783450161835,35.729600000000005,109.60000000000011
early,BASE,CONFIRMED_STUMP,2018-12-10,960,229344.29374,2019-01-07,978,19,-3408.5325600000215,-0.01486207703019704,225935.76117999997,-0.04155590480754856,54.73256000000001,173.999999999985
early,BASE,CONFIRMED_STUMP,2019-03-04,1013,225935.76117999997,2019-10-14,1162,150,8891.172320000012,0.03935265614245331,234826.93349999998,-0.04938671884266854,85.62768,273.29999999998256
early,STRESS,CONFIRMED_STUMP,2015-01-05,0,200000.0,2017-03-20,537,538,28769.034400000004,0.14384517200000002,228769.0344,-0.12578128175394354,432.96560000000005,1278.3000000000052
early,STRESS,CONFIRMED_STUMP,2017-04-05,547,228769.0344,2017-05-22,579,33,-5001.454680000024,-0.02186246356775301,223767.57971999998,-0.049043681790290505,199.95468,580.8000000000005
early,STRESS,CONFIRMED_STUMP,2017-07-10,612,223767.57971999998,2018-02-26,766,155,17431.13380000001,0.07789838823752548,241198.71352,-0.11132604420274894,275.9662,777.8000000000179
early,STRESS,CONFIRMED_STUMP,2018-03-05,771,241198.71352,2018-09-25,911,141,-21178.569880000025,-0.08780548441127534,220020.14363999997,-0.12278580045972065,131.06988,393.6999999999963
early,STRESS,CONFIRMED_STUMP,2018-10-15,920,220020.14363999997,2018-11-05,935,16,1970.0311199999996,0.008953867075113697,221990.17475999997,-0.021761783105375798,57.368880000000004,174.40000000000015
early,STRESS,CONFIRMED_STUMP,2018-11-12,940,221990.17475999997,2018-11-19,945,6,1619.5151999999944,0.007295436393754295,223609.68995999996,-0.003651440196665967,53.284800000000004,163.20000000000016
early,STRESS,CONFIRMED_STUMP,2018-11-26,950,223609.68995999996,2018-12-03,955,6,3343.92319999999,0.014954285749415153,226953.61315999995,-0.003861469179070376,70.6768,216.80000000000018
early,STRESS,CONFIRMED_STUMP,2018-12-10,960,226953.61315999995,2019-01-07,978,19,-3594.306440000015,-0.01583718536116041,223359.30671999994,-0.041626357603588016,108.20644000000001,344.00000000000034
early,STRESS,CONFIRMED_STUMP,2019-03-04,1013,223359.30671999994,2019-10-14,1162,150,9576.041039999982,0.042872809647481525,232935.34775999992,-0.04654438152853213,145.75896,421.19999999999516
early,BASE,NO_FACTOR_LEARNER,2015-01-05,0,200000.0,2017-06-05,587,588,32148.487120000034,0.16074243560000023,232148.48712000003,-0.1256743960322434,219.61288000000002,649.9000000000176
early,BASE,NO_FACTOR_LEARNER,2017-07-10,612,232148.48712000003,2019-01-07,978,367,-17485.924879999977,-0.07532215736974124,214662.56224000006,-0.22771731526393746,184.12488000000002,560.399999999986
early,BASE,NO_FACTOR_LEARNER,2019-03-04,1013,214662.56224000006,2019-10-14,1162,150,8445.889900000038,0.039344959884328734,223108.4521400001,-0.04936153053582115,81.71010000000001,259.2999999999834
early,STRESS,NO_FACTOR_LEARNER,2015-01-05,0,200000.0,2017-06-05,587,588,31257.03880000001,0.15628519400000007,231257.0388,-0.12578128175394354,433.9612,1278.3000000000054
early,STRESS,NO_FACTOR_LEARNER,2017-07-10,612,231257.0388,2019-01-07,978,367,-18053.893640000024,-0.07806851516253188,213203.14516,-0.2285912517072739,365.99364,1055.4000000000206
